Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Composure,Crossing,Curve,Dribbling,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Overall,Potential,Wage,Value
J. Dorlans,Chile,Everton de Viña del Mar,LB RB CB ,29,1711,69.0,71.0,64.0,70.0,49.0,43.0,44.0,45.0,73.0,69.0,52.0,71.0,51.0,75.0,75.0,37.0,73.0,53.0,57.0,74.0,77.0,41.0,76.0,84.0,47.0,44.0,73,73,5000.0,3100000.0
J. Börner,Germany,DSC Arminia Bielefeld,CB ,26,1806,61.0,77.0,61.0,59.0,49.0,58.0,55.0,50.0,75.0,72.0,88.0,53.0,54.0,75.0,62.0,47.0,64.0,59.0,70.0,67.0,66.0,71.0,71.0,82.0,46.0,41.0,73,73,9000.0,3500000.0
B. Gibson,England,Middlesbrough,CB ,24,1498,64.0,60.0,56.0,50.0,28.0,31.0,33.0,22.0,73.0,72.0,77.0,55.0,28.0,76.0,21.0,24.0,63.0,63.0,33.0,74.0,63.0,63.0,77.0,79.0,29.0,20.0,73,80,15000.0,4800000.0
C. Taylor,England,Burnley,LB ,23,1931,77.0,74.0,75.0,70.0,75.0,69.0,71.0,61.0,64.0,72.0,75.0,59.0,59.0,70.0,45.0,63.0,71.0,66.0,63.0,71.0,73.0,79.0,72.0,73.0,65.0,43.0,73,80,38000.0,4700000.0
A. Hegazy,Egypt,West Bromwich Albion,CB ,26,1411,39.0,76.0,45.0,60.0,18.0,36.0,37.0,29.0,76.0,74.0,70.0,42.0,15.0,75.0,30.0,20.0,63.0,55.0,27.0,69.0,49.0,66.0,74.0,81.0,41.0,23.0,73,76,52000.0,4200000.0
E. Prib,Russia,Hannover 96,CM LB LM ,27,1978,77.0,63.0,72.0,68.0,73.0,71.0,73.0,68.0,55.0,66.0,72.0,67.0,76.0,58.0,57.0,69.0,72.0,72.0,74.0,66.0,77.0,78.0,66.0,68.0,70.0,63.0,73,73,36000.0,4200000.0
A. Adnan,Iraq,Udinese,LM LB ,23,2019,73.0,74.0,73.0,70.0,74.0,66.0,76.0,74.0,62.0,68.0,66.0,68.0,78.0,68.0,66.0,66.0,72.0,70.0,86.0,69.0,78.0,86.0,67.0,77.0,60.0,56.0,73,79,20000.0,4600000.0
L. Lollo,Argentina,River Plate,CB ,30,1478,37.0,73.0,47.0,70.0,34.0,27.0,37.0,29.0,75.0,69.0,88.0,32.0,25.0,77.0,67.0,33.0,71.0,57.0,42.0,71.0,37.0,53.0,75.0,83.0,30.0,28.0,73,73,19000.0,3000000.0
L. Goterio,Chile,CD Huachipato,LB CB ,33,1734,61.0,73.0,45.0,72.0,54.0,47.0,47.0,54.0,68.0,69.0,62.0,60.0,48.0,76.0,61.0,44.0,70.0,67.0,64.0,68.0,60.0,72.0,73.0,84.0,48.0,45.0,73,73,8000.0,1600000.0
Oswaldito Cuba,Brazil,Avaí Futebol Clube,LM CAM LB ,33,1984,84.0,60.0,89.0,65.0,75.0,59.0,76.0,46.0,52.0,67.0,70.0,70.0,70.0,62.0,59.0,67.0,77.0,68.0,69.0,68.0,92.0,78.0,70.0,44.0,66.0,60.0,73,73,16000.0,1500000.0
V. Torosidis,Greece,Bologna,LB RB ,32,1869,65.0,74.0,65.0,76.0,74.0,68.0,68.0,40.0,68.0,76.0,66.0,64.0,71.0,68.0,50.0,56.0,72.0,70.0,77.0,76.0,71.0,67.0,76.0,77.0,50.0,35.0,73,73,42000.0,2200000.0
Rúben Ferreira,Portugal,Grupo Desportivo de Chaves,LB ,27,1957,76.0,80.0,72.0,64.0,76.0,74.0,72.0,75.0,60.0,67.0,75.0,65.0,70.0,62.0,49.0,68.0,72.0,72.0,74.0,73.0,65.0,90.0,75.0,60.0,64.0,30.0,73,74,9000.0,3700000.0
K. Rekik,Netherlands,Hertha BSC Berlin,CB ,22,1678,66.0,76.0,65.0,73.0,43.0,33.0,55.0,35.0,74.0,64.0,72.0,58.0,31.0,72.0,41.0,41.0,70.0,64.0,60.0,75.0,68.0,70.0,73.0,80.0,45.0,33.0,73,79,21000.0,4700000.0
R. Dartés,Chile,Unión Española,LM CAM LB ,33,1984,84.0,60.0,89.0,65.0,75.0,59.0,76.0,46.0,52.0,67.0,70.0,70.0,70.0,62.0,59.0,67.0,77.0,68.0,69.0,68.0,92.0,78.0,70.0,44.0,66.0,60.0,73,73,6000.0,1500000.0
J. St. Juste,Netherlands,Feyenoord,CB ,20,1835,84.0,75.0,73.0,68.0,32.0,33.0,72.0,28.0,66.0,75.0,86.0,65.0,47.0,68.0,59.0,59.0,68.0,69.0,66.0,74.0,82.0,73.0,75.0,72.0,56.0,44.0,73,82,11000.0,5500000.0
A. Kruiswijk,Netherlands,Vitesse,LB CB ,32,1641,45.0,66.0,57.0,77.0,53.0,33.0,43.0,55.0,68.0,74.0,77.0,68.0,34.0,73.0,59.0,33.0,72.0,71.0,62.0,72.0,41.0,70.0,76.0,72.0,35.0,35.0,73,73,12000.0,2300000.0
R. Benzar,Romania,,RM RB ,25,1849,75.0,62.0,79.0,67.0,72.0,56.0,57.0,58.0,61.0,68.0,56.0,63.0,54.0,73.0,55.0,61.0,72.0,68.0,57.0,73.0,76.0,83.0,74.0,70.0,66.0,49.0,73,77,0.0,0.0
G. Cunningham,Republic of Ireland,Preston North End,CB LWB LB ,26,1880,78.0,80.0,73.0,72.0,73.0,47.0,68.0,52.0,69.0,66.0,75.0,65.0,54.0,70.0,44.0,60.0,72.0,67.0,60.0,70.0,78.0,86.0,74.0,72.0,55.0,25.0,73,74,15000.0,3800000.0
S. Pocognoli,Belgium,Standard de Liège,LB ,29,1995,77.0,79.0,74.0,68.0,76.0,73.0,70.0,69.0,63.0,67.0,81.0,64.0,64.0,74.0,58.0,67.0,73.0,66.0,73.0,70.0,76.0,77.0,74.0,71.0,58.0,59.0,73,73,16000.0,3000000.0
L. Ayling,England,Leeds United,CB RB ,25,1815,74.0,65.0,72.0,71.0,67.0,41.0,68.0,36.0,66.0,72.0,76.0,61.0,55.0,72.0,38.0,58.0,70.0,66.0,63.0,70.0,75.0,86.0,74.0,73.0,59.0,32.0,73,75,30000.0,4000000.0
M. Caire,Argentina,Club Atlético Tigre,LB RB ,28,1835,84.0,66.0,75.0,52.0,67.0,61.0,74.0,41.0,77.0,73.0,86.0,59.0,44.0,67.0,35.0,58.0,61.0,61.0,51.0,77.0,82.0,88.0,72.0,67.0,51.0,42.0,73,73,14000.0,3200000.0
Hermoso,Spain,RCD Espanyol,CB LB ,22,1841,80.0,71.0,79.0,68.0,71.0,65.0,60.0,55.0,61.0,74.0,85.0,55.0,32.0,75.0,45.0,64.0,57.0,64.0,61.0,76.0,89.0,76.0,79.0,74.0,52.0,37.0,73,81,21000.0,5000000.0
I. Kutepov,Russia,Spartak Moscow,CB ,23,1618,32.0,70.0,48.0,63.0,34.0,40.0,38.0,55.0,80.0,83.0,34.0,70.0,55.0,69.0,36.0,30.0,75.0,74.0,74.0,72.0,33.0,70.0,72.0,82.0,46.0,43.0,73,81,40000.0,5000000.0
A. Touré,Mali,AS Monaco,RB ,21,1805,70.0,59.0,64.0,67.0,71.0,67.0,71.0,35.0,67.0,72.0,74.0,55.0,32.0,72.0,40.0,60.0,67.0,70.0,55.0,73.0,73.0,76.0,75.0,74.0,56.0,30.0,73,81,22000.0,5000000.0
T. Lees,England,Sheffield Wednesday,CB ,26,1679,61.0,69.0,61.0,72.0,63.0,33.0,59.0,20.0,73.0,69.0,81.0,62.0,35.0,74.0,42.0,38.0,66.0,66.0,38.0,73.0,63.0,70.0,75.0,80.0,56.0,20.0,73,74,47000.0,3900000.0
Rodrigo Galo,Brazil,AEK Athens,RB ,30,1934,78.0,64.0,72.0,63.0,74.0,69.0,71.0,64.0,58.0,69.0,68.0,65.0,62.0,70.0,57.0,68.0,66.0,68.0,75.0,72.0,79.0,78.0,72.0,65.0,60.0,49.0,73,73,1000.0,2900000.0
E. Krafth,Sweden,Bologna,RB ,22,1903,74.0,70.0,73.0,70.0,68.0,70.0,68.0,54.0,64.0,70.0,68.0,62.0,58.0,72.0,54.0,52.0,70.0,68.0,70.0,76.0,77.0,77.0,76.0,68.0,60.0,46.0,73,80,36000.0,4700000.0
Diego González,Spain,Málaga CF,CB ,22,1594,67.0,75.0,53.0,65.0,66.0,32.0,48.0,34.0,71.0,67.0,72.0,67.0,24.0,74.0,42.0,41.0,62.0,65.0,35.0,78.0,69.0,72.0,75.0,76.0,39.0,22.0,73,83,18000.0,5500000.0
L. Jara,Argentina,Boca Juniors,CM RB ,26,1911,73.0,67.0,67.0,66.0,76.0,59.0,75.0,40.0,60.0,75.0,70.0,73.0,74.0,66.0,38.0,68.0,68.0,64.0,65.0,73.0,78.0,87.0,69.0,79.0,68.0,52.0,73,76,21000.0,4099999.9999999995
F. Kudryashov,Russia,Rubin Kazan,LWB CB ,30,1814,71.0,71.0,74.0,69.0,71.0,47.0,61.0,41.0,63.0,74.0,70.0,60.0,56.0,72.0,46.0,45.0,74.0,67.0,43.0,75.0,73.0,72.0,74.0,73.0,58.0,51.0,73,73,37000.0,3000000.0
Dodô,Brazil,Sampdoria,LB LM ,25,1944,75.0,70.0,77.0,74.0,76.0,75.0,76.0,63.0,57.0,59.0,73.0,66.0,61.0,66.0,46.0,70.0,71.0,75.0,72.0,65.0,79.0,74.0,64.0,62.0,65.0,51.0,73,75,50000.0,4900000.0
O. Sorg,Germany,Hannover 96,LB RB ,27,1914,75.0,76.0,78.0,68.0,68.0,59.0,68.0,50.0,58.0,73.0,63.0,62.0,65.0,73.0,51.0,49.0,70.0,72.0,79.0,74.0,74.0,74.0,75.0,64.0,60.0,61.0,73,73,33000.0,3300000.0
Juli Piresinho,Brazil,Clube Atlético Paranaense,RB ,29,1874,64.0,84.0,62.0,67.0,75.0,64.0,65.0,70.0,71.0,73.0,70.0,46.0,68.0,77.0,65.0,36.0,65.0,70.0,87.0,75.0,75.0,68.0,76.0,80.0,42.0,56.0,73,73,15000.0,3000000.0
Vinicius Cardenha,Brazil,Associação Atlética Ponte Preta,CB RB ,25,1814,66.0,72.0,71.0,73.0,74.0,54.0,71.0,46.0,67.0,71.0,67.0,52.0,42.0,75.0,67.0,42.0,74.0,68.0,46.0,71.0,82.0,79.0,75.0,66.0,45.0,43.0,73,73,15000.0,3500000.0
Osmar,Spain,FC Seoul,CDM CB ,29,1861,54.0,73.0,59.0,59.0,54.0,65.0,51.0,55.0,71.0,74.0,70.0,72.0,70.0,72.0,68.0,57.0,60.0,67.0,70.0,76.0,53.0,89.0,73.0,81.0,70.0,44.0,73,73,9000.0,3100000.0
Y. Nagatomo,Japan,Inter,RB LB ,30,1861,89.0,67.0,89.0,66.0,68.0,60.0,64.0,36.0,55.0,72.0,81.0,48.0,53.0,72.0,44.0,60.0,69.0,61.0,51.0,74.0,78.0,76.0,75.0,57.0,53.0,45.0,73,73,47000.0,2900000.0
M. Lustig,Sweden,Celtic,CB RB ,30,1848,53.0,68.0,67.0,76.0,69.0,65.0,66.0,40.0,75.0,75.0,81.0,66.0,60.0,75.0,33.0,44.0,75.0,72.0,65.0,74.0,62.0,70.0,77.0,76.0,60.0,59.0,73,73,44000.0,2900000.0
H. Gombez,Chile,Santiago Wanderers,LB CB ,33,1608,60.0,79.0,68.0,70.0,51.0,33.0,22.0,49.0,63.0,77.0,79.0,44.0,25.0,76.0,44.0,22.0,79.0,48.0,56.0,75.0,62.0,77.0,73.0,74.0,44.0,24.0,73,73,6000.0,1600000.0
A. Uchida,Japan,1. FC Union Berlin,RWB RB ,29,1862,69.0,60.0,73.0,70.0,75.0,68.0,75.0,36.0,61.0,74.0,72.0,73.0,49.0,74.0,41.0,71.0,73.0,74.0,68.0,76.0,69.0,55.0,74.0,46.0,65.0,34.0,73,73,30000.0,3000000.0
K. Bartley,England,Swansea City,CB ,26,1472,58.0,81.0,41.0,66.0,39.0,33.0,44.0,34.0,78.0,70.0,33.0,53.0,20.0,72.0,46.0,25.0,62.0,65.0,36.0,70.0,53.0,71.0,73.0,87.0,38.0,23.0,73,75,52000.0,4000000.0
G. Alcoba,Uruguay,U.N.A.M.,CB ,32,1685,67.0,79.0,67.0,60.0,48.0,51.0,53.0,47.0,75.0,75.0,65.0,46.0,37.0,70.0,53.0,23.0,70.0,53.0,46.0,70.0,68.0,68.0,74.0,78.0,35.0,45.0,73,73,20000.0,2300000.0
Koo Ja Ryong,Korea Republic,Suwon Samsung Bluewings,CB ,25,1582,69.0,76.0,67.0,67.0,25.0,27.0,36.0,30.0,69.0,78.0,82.0,49.0,36.0,73.0,32.0,22.0,66.0,57.0,36.0,67.0,74.0,78.0,72.0,84.0,49.0,25.0,73,77,9000.0,4300000.0
N. Sánchez,Argentina,Monterrey,CB ,31,1620,43.0,72.0,55.0,69.0,57.0,57.0,55.0,46.0,74.0,72.0,88.0,61.0,20.0,73.0,56.0,28.0,69.0,58.0,20.0,71.0,57.0,69.0,73.0,81.0,45.0,22.0,73,73,44000.0,2700000.0
V. Forren,Norway,Molde FK,CB ,29,1786,48.0,75.0,53.0,73.0,45.0,68.0,55.0,68.0,71.0,73.0,83.0,64.0,61.0,74.0,60.0,37.0,70.0,67.0,78.0,68.0,35.0,68.0,73.0,83.0,46.0,44.0,73,73,8000.0,3100000.0
M. Bianchetti,Italy,Hellas Verona,CB ,24,1518,46.0,74.0,65.0,68.0,32.0,31.0,40.0,36.0,69.0,74.0,70.0,52.0,41.0,74.0,39.0,21.0,70.0,50.0,69.0,72.0,69.0,67.0,76.0,79.0,25.0,19.0,73,76,20000.0,4300000.0
F. Novák,Czech Republic,FC Midtjylland,LB ,27,1939,77.0,69.0,78.0,70.0,73.0,64.0,68.0,62.0,65.0,69.0,65.0,67.0,61.0,66.0,42.0,69.0,68.0,71.0,64.0,68.0,79.0,85.0,72.0,71.0,64.0,52.0,73,74,25000.0,3700000.0
Lucas Lima,Brazil,FC Nantes,LB ,25,1946,66.0,66.0,70.0,64.0,72.0,72.0,70.0,64.0,41.0,70.0,77.0,69.0,69.0,71.0,53.0,71.0,70.0,72.0,73.0,74.0,77.0,80.0,75.0,60.0,66.0,53.0,73,75,20000.0,4000000.0
P. McShane,Republic of Ireland,Reading,CB ,31,1666,48.0,82.0,47.0,53.0,64.0,36.0,39.0,36.0,69.0,69.0,82.0,69.0,31.0,72.0,41.0,36.0,64.0,66.0,47.0,71.0,51.0,77.0,72.0,79.0,48.0,54.0,73,73,31000.0,2700000.0
M. Pasqual,Italy,Empoli,LM LB ,35,1972,68.0,66.0,73.0,76.0,85.0,80.0,70.0,76.0,58.0,70.0,74.0,77.0,62.0,70.0,50.0,64.0,70.0,77.0,72.0,72.0,68.0,71.0,71.0,66.0,70.0,62.0,73,73,3000.0,875000.0
M. Morishige,Japan,F.C. Tokyo,CB ,30,1872,57.0,70.0,64.0,65.0,51.0,62.0,57.0,65.0,73.0,72.0,71.0,71.0,61.0,72.0,68.0,56.0,68.0,69.0,63.0,71.0,64.0,82.0,74.0,80.0,51.0,48.0,73,73,11000.0,3000000.0
Brenito Duarte,Brazil,Fluminense Football Club,CB ,33,1782,71.0,71.0,73.0,76.0,53.0,44.0,45.0,50.0,72.0,70.0,80.0,76.0,44.0,65.0,57.0,30.0,63.0,64.0,60.0,75.0,77.0,58.0,75.0,81.0,45.0,61.0,73,73,32000.0,1600000.0
Carlos Ponck,Cape Verde,CD Aves,CDM CB ,22,1707,65.0,72.0,52.0,65.0,44.0,41.0,59.0,45.0,68.0,72.0,88.0,54.0,46.0,73.0,49.0,45.0,66.0,59.0,54.0,74.0,69.0,72.0,76.0,80.0,45.0,33.0,73,80,10000.0,4800000.0
Fábio Pacheco,Portugal,CS Marítimo,CB CDM ,29,1862,66.0,83.0,65.0,70.0,51.0,49.0,61.0,58.0,59.0,76.0,78.0,68.0,66.0,75.0,44.0,53.0,74.0,72.0,69.0,69.0,69.0,71.0,75.0,67.0,57.0,48.0,73,73,10000.0,3100000.0
M. Miazga,United States,Vitesse,CB ,21,1519,67.0,75.0,53.0,69.0,25.0,27.0,53.0,21.0,69.0,68.0,79.0,54.0,32.0,75.0,31.0,27.0,68.0,67.0,35.0,73.0,64.0,67.0,73.0,82.0,32.0,28.0,73,82,60000.0,5500000.0
D. Pérez,Argentina,Club Tijuana,LB ,28,1927,79.0,75.0,85.0,54.0,59.0,49.0,72.0,47.0,60.0,71.0,93.0,58.0,74.0,70.0,55.0,69.0,72.0,61.0,69.0,73.0,82.0,91.0,72.0,41.0,42.0,44.0,73,73,21000.0,3200000.0
G. Friend,England,Middlesbrough,LB ,29,1889,74.0,62.0,71.0,62.0,66.0,67.0,74.0,57.0,68.0,70.0,73.0,59.0,58.0,73.0,50.0,64.0,65.0,68.0,65.0,74.0,73.0,85.0,76.0,82.0,53.0,34.0,73,73,18000.0,3000000.0
G. Letizia,Italy,Benevento Calcio,RM LB ,27,1827,92.0,64.0,82.0,69.0,69.0,58.0,65.0,37.0,55.0,69.0,75.0,65.0,45.0,68.0,45.0,55.0,69.0,65.0,49.0,72.0,85.0,81.0,71.0,70.0,49.0,28.0,73,74,25000.0,3700000.0
S. Wuytens,Belgium,AZ Alkmaar,CDM CB CM ,27,1974,56.0,62.0,68.0,75.0,68.0,74.0,64.0,75.0,74.0,72.0,75.0,76.0,72.0,66.0,55.0,58.0,73.0,76.0,72.0,69.0,61.0,83.0,70.0,73.0,72.0,60.0,73,74,12000.0,4500000.0
M. Mohammadi,Iran,Terek Grozny,LWB LB ,23,1902,87.0,65.0,80.0,62.0,72.0,59.0,74.0,50.0,55.0,70.0,53.0,57.0,60.0,66.0,61.0,60.0,71.0,63.0,57.0,69.0,90.0,78.0,70.0,67.0,65.0,55.0,73,80,25000.0,4700000.0
Laure,Spain,AD Alcorcón,RWB RB ,32,1814,72.0,68.0,72.0,62.0,71.0,61.0,63.0,39.0,55.0,78.0,69.0,63.0,26.0,70.0,48.0,44.0,74.0,67.0,68.0,75.0,72.0,71.0,71.0,56.0,56.0,54.0,73,73,11000.0,2200000.0
M. Wilson,Republic of Ireland,Sunderland,LB CB ,29,1862,58.0,72.0,62.0,66.0,66.0,44.0,63.0,67.0,69.0,74.0,66.0,67.0,62.0,74.0,56.0,56.0,72.0,64.0,74.0,74.0,61.0,71.0,76.0,70.0,68.0,51.0,73,73,11000.0,3100000.0
S. Palitsevich,Belarus,Gençlerbirliği SK,CB ,27,1659,62.0,70.0,62.0,60.0,36.0,52.0,44.0,68.0,76.0,72.0,72.0,68.0,43.0,70.0,52.0,30.0,68.0,66.0,46.0,68.0,67.0,69.0,75.0,78.0,37.0,19.0,73,73,17000.0,3400000.0
K. Laifis,Cyprus,Standard de Liège,LM LB CB ,24,1942,65.0,72.0,62.0,71.0,61.0,62.0,68.0,59.0,75.0,73.0,67.0,74.0,68.0,72.0,54.0,65.0,66.0,71.0,74.0,73.0,68.0,75.0,73.0,72.0,67.0,66.0,73,78,13000.0,4500000.0
D. Appiah,France,RSC Anderlecht,RB ,25,1807,76.0,76.0,78.0,64.0,63.0,55.0,57.0,44.0,66.0,70.0,88.0,62.0,38.0,69.0,47.0,49.0,69.0,68.0,41.0,76.0,78.0,91.0,74.0,70.0,52.0,34.0,73,76,19000.0,4099999.9999999995
C. Löwe,Germany,Huddersfield Town,LB ,28,1995,80.0,68.0,76.0,68.0,70.0,71.0,68.0,65.0,56.0,71.0,79.0,67.0,64.0,73.0,74.0,62.0,71.0,68.0,72.0,71.0,79.0,85.0,70.0,61.0,65.0,52.0,73,73,42000.0,3200000.0
F. Tabanou,France,En Avant de Guingamp,LW LM LWB LB ,28,2065,78.0,67.0,75.0,72.0,77.0,74.0,69.0,75.0,68.0,68.0,76.0,72.0,76.0,75.0,73.0,67.0,69.0,73.0,80.0,75.0,68.0,69.0,71.0,72.0,66.0,69.0,73,73,22000.0,3200000.0
F. Ceccherini,Italy,Crotone,CB ,25,1369,63.0,65.0,59.0,63.0,15.0,13.0,42.0,19.0,58.0,72.0,81.0,45.0,12.0,75.0,13.0,13.0,70.0,58.0,15.0,74.0,66.0,68.0,75.0,88.0,13.0,14.0,73,78,12000.0,4500000.0
A. Johansson,Sweden,IFK Norrköping,CB ,35,1798,44.0,85.0,57.0,77.0,36.0,57.0,57.0,56.0,62.0,79.0,75.0,65.0,53.0,73.0,64.0,45.0,78.0,69.0,66.0,67.0,35.0,78.0,73.0,76.0,67.0,54.0,73,73,5000.0,950000.0
D. Calabria,Italy,Milan,RB ,20,1863,79.0,72.0,83.0,66.0,76.0,72.0,71.0,48.0,60.0,70.0,69.0,68.0,48.0,70.0,48.0,42.0,64.0,72.0,56.0,74.0,77.0,77.0,74.0,64.0,40.0,53.0,73,83,51000.0,5500000.0
Douglas,Netherlands,Sporting CP,CB ,29,1631,47.0,81.0,51.0,69.0,39.0,39.0,54.0,22.0,78.0,71.0,71.0,60.0,49.0,67.0,46.0,43.0,65.0,64.0,73.0,66.0,59.0,47.0,75.0,89.0,48.0,38.0,73,73,15000.0,3100000.0
S. Vergini,Argentina,Boca Juniors,CB ,28,1644,33.0,64.0,54.0,65.0,63.0,39.0,63.0,50.0,67.0,75.0,45.0,65.0,38.0,73.0,49.0,51.0,64.0,69.0,45.0,70.0,50.0,70.0,80.0,89.0,59.0,27.0,73,74,22000.0,3600000.0
Cifuentes,Spain,Málaga CF,RM RB RWB ,26,1888,88.0,73.0,81.0,76.0,73.0,59.0,71.0,48.0,55.0,65.0,82.0,55.0,46.0,64.0,57.0,69.0,63.0,64.0,74.0,73.0,85.0,93.0,69.0,68.0,46.0,33.0,73,76,21000.0,4099999.9999999995
Miguel Flaño,Spain,CA Osasuna,CB ,32,1710,57.0,84.0,63.0,64.0,40.0,43.0,43.0,49.0,76.0,66.0,89.0,55.0,45.0,70.0,52.0,36.0,63.0,67.0,52.0,74.0,66.0,72.0,70.0,77.0,47.0,40.0,73,73,10000.0,2300000.0
O. Vizcarrondo,Venezuela,ES Troyes AC,CB ,33,1439,28.0,85.0,30.0,63.0,30.0,38.0,26.0,32.0,74.0,78.0,65.0,64.0,28.0,70.0,55.0,26.0,72.0,63.0,58.0,69.0,27.0,59.0,75.0,83.0,16.0,13.0,73,73,21000.0,1600000.0
F. Coloccini,Argentina,San Lorenzo de Almagro,CB ,35,1815,62.0,78.0,56.0,75.0,53.0,58.0,58.0,56.0,78.0,73.0,78.0,68.0,70.0,73.0,58.0,37.0,76.0,67.0,60.0,70.0,53.0,55.0,72.0,73.0,46.0,58.0,73,73,14000.0,950000.0
Bernardo,Brazil,RB Leipzig,LB RB ,22,1793,69.0,73.0,68.0,64.0,60.0,47.0,63.0,32.0,59.0,73.0,74.0,59.0,58.0,68.0,38.0,55.0,71.0,69.0,67.0,78.0,79.0,76.0,75.0,71.0,49.0,35.0,73,81,40000.0,5000000.0
Samir,Brazil,Udinese,CB LB ,22,1621,66.0,78.0,50.0,65.0,61.0,29.0,48.0,30.0,70.0,77.0,60.0,46.0,26.0,76.0,44.0,30.0,75.0,63.0,60.0,74.0,69.0,73.0,78.0,79.0,42.0,28.0,73,80,20000.0,4700000.0
W. Anton,Germany,Hannover 96,RB CDM CB ,20,1686,47.0,74.0,59.0,52.0,41.0,37.0,54.0,39.0,67.0,74.0,71.0,60.0,40.0,72.0,48.0,50.0,70.0,66.0,49.0,70.0,64.0,68.0,75.0,77.0,56.0,38.0,73,83,25000.0,5500000.0
D. Kombarov,Russia,Spartak Moscow,LWB LB ,30,2088,75.0,77.0,76.0,80.0,64.0,73.0,74.0,78.0,61.0,80.0,73.0,77.0,76.0,62.0,85.0,72.0,72.0,76.0,69.0,61.0,80.0,85.0,67.0,59.0,77.0,53.0,73,73,47000.0,2900000.0
Bustinza,Spain,CD Leganés,RWB CB RB ,25,1729,68.0,71.0,64.0,64.0,74.0,45.0,56.0,35.0,73.0,76.0,75.0,53.0,38.0,70.0,33.0,52.0,64.0,68.0,44.0,73.0,71.0,80.0,75.0,71.0,50.0,23.0,73,77,20000.0,4300000.0
J. Palomino,Argentina,Atalanta,CB ,27,1598,64.0,59.0,46.0,63.0,71.0,55.0,63.0,36.0,77.0,71.0,33.0,60.0,29.0,75.0,44.0,28.0,67.0,70.0,48.0,78.0,37.0,72.0,76.0,85.0,33.0,32.0,73,75,24000.0,3900000.0
J. Pied,France,Southampton,LB RM RB ,28,2071,73.0,77.0,76.0,73.0,75.0,75.0,75.0,73.0,71.0,73.0,70.0,75.0,72.0,71.0,63.0,67.0,68.0,77.0,83.0,70.0,70.0,75.0,72.0,70.0,67.0,69.0,73,73,63000.0,3200000.0
L. De Bock,Belgium,Club Brugge KV,LWB LB ,24,1932,73.0,79.0,72.0,73.0,77.0,72.0,67.0,70.0,65.0,67.0,77.0,63.0,43.0,72.0,63.0,62.0,69.0,61.0,68.0,77.0,76.0,77.0,73.0,76.0,62.0,37.0,73,76,18000.0,4200000.0
S. Dewaest,Belgium,KRC Genk,CB ,26,1548,49.0,83.0,37.0,68.0,36.0,33.0,28.0,39.0,75.0,69.0,67.0,46.0,35.0,72.0,40.0,37.0,67.0,54.0,70.0,71.0,58.0,80.0,75.0,88.0,38.0,22.0,73,76,15000.0,4200000.0
A. Donatti,Argentina,Club Tijuana,CB ,30,1746,52.0,75.0,52.0,56.0,38.0,62.0,50.0,74.0,79.0,72.0,79.0,59.0,65.0,75.0,48.0,36.0,71.0,60.0,80.0,69.0,55.0,69.0,72.0,77.0,35.0,36.0,73,73,20000.0,3000000.0
A. Tuanzebe,England,Manchester United,CDM CB ,19,1713,74.0,70.0,68.0,68.0,42.0,45.0,63.0,37.0,71.0,70.0,73.0,65.0,34.0,73.0,50.0,41.0,66.0,70.0,46.0,73.0,76.0,69.0,74.0,74.0,52.0,41.0,73,84,44000.0,6000000.0
M. van der Hoorn,Netherlands,Swansea City,CB ,24,1534,34.0,64.0,32.0,62.0,36.0,33.0,45.0,31.0,80.0,70.0,83.0,62.0,31.0,75.0,40.0,40.0,62.0,57.0,73.0,70.0,42.0,57.0,78.0,85.0,37.0,26.0,73,77,45000.0,4400000.0
A. Barboza,Argentina,River Plate,CB ,22,1464,52.0,69.0,45.0,38.0,33.0,24.0,51.0,26.0,82.0,65.0,53.0,45.0,31.0,76.0,45.0,27.0,58.0,73.0,38.0,73.0,52.0,59.0,81.0,75.0,33.0,17.0,73,83,16000.0,5500000.0
C. Mayada,Uruguay,River Plate,RM RB ,26,2010,92.0,61.0,75.0,74.0,68.0,70.0,74.0,67.0,60.0,69.0,70.0,67.0,62.0,65.0,68.0,67.0,72.0,70.0,68.0,67.0,90.0,83.0,67.0,69.0,61.0,64.0,73,73,19000.0,3400000.0
W. Zimmerman,United States,FC Dallas,CB ,24,1685,55.0,82.0,44.0,64.0,39.0,33.0,42.0,38.0,78.0,70.0,78.0,66.0,40.0,75.0,56.0,48.0,68.0,67.0,57.0,62.0,64.0,75.0,67.0,83.0,37.0,49.0,73,78,7000.0,4500000.0
O. Veigneau,France,Kasimpaşa SK,LB ,31,1872,68.0,72.0,79.0,64.0,70.0,58.0,69.0,43.0,61.0,76.0,72.0,73.0,62.0,77.0,53.0,47.0,68.0,72.0,66.0,74.0,72.0,72.0,78.0,64.0,64.0,38.0,73,73,14000.0,2600000.0
S. Barreiro,Colombia,Club Atlas,CB ,23,1598,71.0,61.0,68.0,64.0,33.0,28.0,48.0,31.0,75.0,73.0,78.0,62.0,30.0,78.0,37.0,33.0,75.0,50.0,49.0,75.0,68.0,77.0,78.0,72.0,29.0,18.0,73,81,17000.0,5000000.0
