Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Jumping,Long passing,Long shots,Penalties,Positioning,Short passing,Shot power,Sprint speed,Stamina,Vision,Volleys,Strength,Reactions,Overall,Potential,Wage,Value
M. Maâzou,Niger,RC Lens,RW ST ,28,1798,89.0,79.0,71.0,59.0,64.0,64.0,62.0,53.0,66.0,72.0,45.0,78.0,83.0,42.0,63.0,70.0,66.0,61.0,81.0,87.0,80.0,58.0,69.0,82.0,71.0,73,73,12000.0,4099999.9999999995
J. Arango,Colombia,CD Once Caldas Manizales,ST CAM ,26,1817,79.0,83.0,77.0,67.0,70.0,69.0,75.0,79.0,74.0,74.0,79.0,41.0,53.0,63.0,75.0,72.0,75.0,70.0,75.0,80.0,63.0,73.0,53.0,71.0,59.0,73,74,3000.0,4700000.0
Varela,Portugal,Kayserispor,RM LM RW LW ,32,1885,75.0,48.0,74.0,72.0,75.0,77.0,72.0,73.0,76.0,72.0,56.0,64.0,54.0,65.0,77.0,74.0,73.0,70.0,85.0,73.0,57.0,67.0,68.0,76.0,71.0,73,73,17000.0,3100000.0
A. Marelos,Chile,Universidad de Chile,LM ST ,33,1803,76.0,50.0,81.0,83.0,74.0,71.0,62.0,71.0,70.0,74.0,60.0,67.0,67.0,62.0,69.0,56.0,68.0,73.0,75.0,73.0,67.0,73.0,73.0,64.0,73.0,73,73,15000.0,2500000.0
F. Falco,Italy,Perugia,LW CAM ,25,1769,83.0,51.0,91.0,85.0,78.0,67.0,59.0,75.0,76.0,60.0,60.0,49.0,58.0,69.0,75.0,57.0,63.0,75.0,65.0,79.0,69.0,67.0,65.0,55.0,64.0,73,78,44000.0,5500000.0
Marín,Spain,Villarreal CF,LWB LB ,20,1801,71.0,69.0,70.0,63.0,73.0,63.0,72.0,62.0,69.0,40.0,35.0,56.0,71.0,56.0,42.0,38.0,51.0,72.0,60.0,75.0,74.0,53.0,48.0,72.0,69.0,73,84,20000.0,6000000.0
O. Estupiñán,Colombia,Vitória Guimarães,ST ,20,1693,75.0,49.0,65.0,70.0,72.0,72.0,40.0,56.0,69.0,72.0,60.0,78.0,87.0,47.0,70.0,63.0,74.0,56.0,78.0,71.0,75.0,43.0,65.0,77.0,63.0,73,81,10000.0,6000000.0
C. Santos,Venezuela,Deportivo Alavés,CAM ST ,29,1863,60.0,58.0,70.0,59.0,72.0,75.0,68.0,79.0,67.0,77.0,71.0,70.0,76.0,67.0,75.0,80.0,78.0,69.0,69.0,64.0,71.0,65.0,81.0,67.0,71.0,73,73,26000.0,4000000.0
H. Traoré,Mali,Stade Rennais FC,RWB RM RB ,25,1934,81.0,73.0,72.0,82.0,69.0,62.0,76.0,71.0,71.0,48.0,34.0,69.0,86.0,70.0,58.0,47.0,69.0,71.0,68.0,80.0,76.0,63.0,32.0,62.0,74.0,73,76,20000.0,4099999.9999999995
D. Quintero,Colombia,Club América,RM ST ,29,1860,88.0,77.0,90.0,81.0,72.0,68.0,64.0,72.0,77.0,68.0,56.0,55.0,65.0,71.0,59.0,59.0,78.0,72.0,73.0,86.0,70.0,75.0,72.0,69.0,71.0,73,73,55000.0,4000000.0
M. Jimañez,Chile,Unión Española,LM CAM ST ,29,1839,66.0,55.0,76.0,66.0,76.0,71.0,53.0,83.0,76.0,75.0,71.0,64.0,73.0,56.0,69.0,76.0,67.0,56.0,86.0,85.0,74.0,56.0,77.0,69.0,67.0,73,73,7000.0,4000000.0
Luiz Araújo,Brazil,LOSC Lille,CAM RW LW ,21,1802,83.0,55.0,80.0,78.0,75.0,68.0,64.0,68.0,77.0,62.0,56.0,54.0,56.0,66.0,58.0,60.0,66.0,76.0,68.0,85.0,58.0,70.0,56.0,43.0,77.0,73,82,33000.0,6000000.0
A. Bouhaddouz,Morocco,FC St. Pauli,ST ,30,1722,63.0,78.0,59.0,59.0,69.0,72.0,49.0,70.0,63.0,76.0,55.0,72.0,77.0,53.0,69.0,73.0,72.0,65.0,75.0,68.0,66.0,44.0,73.0,86.0,69.0,73,73,21000.0,3900000.0
R. Rodelin,France,SM Caen,RW RM LW ,27,1873,66.0,42.0,69.0,55.0,77.0,66.0,75.0,69.0,75.0,76.0,65.0,78.0,78.0,70.0,71.0,68.0,76.0,72.0,72.0,67.0,69.0,72.0,70.0,75.0,73.0,73,73,25000.0,4200000.0
L. Hinterseer,Austria,VfL Bochum,RW ST ,26,1743,65.0,57.0,66.0,57.0,71.0,66.0,55.0,63.0,68.0,74.0,44.0,73.0,58.0,58.0,61.0,71.0,74.0,69.0,74.0,67.0,71.0,64.0,69.0,80.0,71.0,73,76,21000.0,5000000.0
S. Dubarbier,Argentina,Estudiantes de La Plata,LWB LB ,31,2003,79.0,90.0,70.0,71.0,71.0,66.0,75.0,72.0,75.0,57.0,65.0,58.0,81.0,63.0,64.0,59.0,66.0,67.0,69.0,79.0,76.0,64.0,57.0,74.0,71.0,73,73,16000.0,2600000.0
D. Dwyer,United States,Orlando City Soccer Club,ST ,26,1794,75.0,83.0,77.0,75.0,69.0,69.0,52.0,74.0,67.0,75.0,62.0,69.0,81.0,31.0,65.0,69.0,79.0,58.0,80.0,77.0,82.0,50.0,69.0,69.0,70.0,73,74,10000.0,4800000.0
G. McCleary,Jamaica,Reading,ST RM RW ,30,1915,87.0,55.0,73.0,66.0,70.0,59.0,67.0,68.0,76.0,68.0,63.0,55.0,73.0,55.0,73.0,67.0,67.0,65.0,78.0,86.0,71.0,67.0,71.0,73.0,69.0,73,73,37000.0,3800000.0
M. Cauteruccio,Uruguay,Cruz Azul,RM ST ,30,1862,70.0,61.0,74.0,66.0,72.0,74.0,55.0,69.0,71.0,73.0,69.0,71.0,76.0,60.0,71.0,71.0,75.0,67.0,74.0,70.0,69.0,60.0,71.0,73.0,71.0,73,73,32000.0,3900000.0
S. Romero,Argentina,Club América,ST ,28,1836,77.0,40.0,79.0,70.0,72.0,50.0,63.0,70.0,70.0,73.0,45.0,70.0,61.0,62.0,66.0,76.0,72.0,69.0,76.0,75.0,70.0,68.0,71.0,79.0,69.0,73,73,55000.0,4099999.9999999995
J. Benítez,Paraguay,Monterrey,ST ,24,1734,79.0,49.0,74.0,63.0,76.0,77.0,40.0,64.0,75.0,70.0,64.0,72.0,69.0,62.0,68.0,67.0,73.0,73.0,73.0,79.0,66.0,63.0,75.0,77.0,69.0,73,77,46000.0,5500000.0
B. Sigurðarson,Iceland,Molde FK,RM ST ,25,1900,78.0,73.0,83.0,76.0,72.0,76.0,66.0,63.0,73.0,70.0,48.0,68.0,78.0,44.0,66.0,67.0,73.0,68.0,68.0,79.0,90.0,64.0,65.0,85.0,74.0,73,76,9000.0,5000000.0
F. Melchiorri,Italy,Cagliari,ST ,30,1661,76.0,54.0,71.0,57.0,71.0,74.0,43.0,38.0,71.0,74.0,27.0,69.0,87.0,40.0,63.0,64.0,67.0,65.0,75.0,85.0,65.0,62.0,61.0,70.0,77.0,73,73,50000.0,3900000.0
A. Rosina,Italy,Salernitana,ST CAM RW ,33,1783,79.0,48.0,82.0,89.0,77.0,73.0,69.0,81.0,74.0,65.0,78.0,50.0,32.0,70.0,68.0,68.0,70.0,72.0,74.0,73.0,73.0,72.0,72.0,34.0,77.0,73,73,7000.0,2400000.0
A. Silva,Uruguay,Club Atlético Lanús,RM RB RW ,27,2004,74.0,71.0,78.0,72.0,74.0,72.0,75.0,66.0,75.0,64.0,63.0,65.0,64.0,66.0,73.0,61.0,72.0,72.0,71.0,77.0,82.0,71.0,52.0,57.0,74.0,73,73,19000.0,4200000.0
M. Cornet,Ivory Coast,Olympique Lyonnais,LW RW ,20,1855,87.0,52.0,80.0,78.0,76.0,65.0,66.0,63.0,74.0,73.0,52.0,68.0,71.0,48.0,67.0,64.0,74.0,69.0,77.0,87.0,82.0,63.0,67.0,70.0,67.0,73,81,45000.0,6000000.0
U. Đurđević,Serbia,Olympiakos CFP,ST ,23,1701,68.0,78.0,68.0,67.0,68.0,71.0,33.0,54.0,70.0,77.0,49.0,69.0,59.0,52.0,68.0,61.0,74.0,64.0,80.0,69.0,50.0,58.0,72.0,77.0,71.0,73,78,1000.0,5500000.0
C. Lungu,Zambia,Alanyaspor,CDM ST LM ,26,1875,82.0,61.0,82.0,87.0,73.0,67.0,68.0,61.0,77.0,65.0,60.0,55.0,81.0,60.0,58.0,59.0,69.0,69.0,63.0,88.0,83.0,69.0,47.0,61.0,60.0,73,74,16000.0,4700000.0
D. Ballega,Chile,CD Universidad de Concepción,ST ,33,1784,58.0,58.0,59.0,53.0,74.0,73.0,57.0,63.0,70.0,75.0,72.0,64.0,54.0,55.0,74.0,72.0,75.0,64.0,79.0,56.0,43.0,54.0,73.0,84.0,77.0,73,73,6000.0,2500000.0
Gelson Dala,Angola,Sporting CP,LM RM CF ,20,1791,87.0,46.0,87.0,87.0,75.0,64.0,50.0,66.0,79.0,74.0,55.0,65.0,71.0,38.0,68.0,70.0,76.0,54.0,77.0,85.0,76.0,57.0,71.0,63.0,76.0,73,84,14000.0,7000000.0
I. Sylla,Guinea,Queens Park Rangers,ST ,26,1756,73.0,67.0,73.0,65.0,73.0,68.0,53.0,50.0,69.0,73.0,49.0,78.0,91.0,54.0,66.0,63.0,71.0,62.0,73.0,75.0,64.0,58.0,64.0,71.0,68.0,73,76,31000.0,5000000.0
Edinho,Portugal,Vitória Setúbal,ST ,34,1721,54.0,69.0,61.0,58.0,69.0,70.0,47.0,60.0,66.0,76.0,64.0,77.0,76.0,44.0,68.0,76.0,73.0,59.0,79.0,64.0,49.0,52.0,73.0,77.0,72.0,73,73,10000.0,2100000.0
G. Sansone,Italy,Novara,CAM ST LW ,30,1841,87.0,49.0,91.0,88.0,76.0,68.0,63.0,74.0,76.0,69.0,79.0,56.0,58.0,50.0,73.0,77.0,65.0,67.0,80.0,86.0,75.0,66.0,74.0,51.0,68.0,73,73,6000.0,3800000.0
O. Kuzmin,Russia,Rubin Kazan,RWB RB ,36,1972,78.0,70.0,80.0,74.0,70.0,78.0,68.0,64.0,69.0,60.0,56.0,65.0,73.0,70.0,56.0,52.0,66.0,72.0,72.0,71.0,55.0,61.0,64.0,60.0,70.0,73,73,26000.0,450000.0
M. Sylla,Senegal,KAA Gent,ST ,23,1806,76.0,67.0,71.0,61.0,72.0,70.0,58.0,67.0,73.0,74.0,42.0,74.0,74.0,36.0,69.0,62.0,68.0,70.0,74.0,78.0,67.0,72.0,63.0,75.0,68.0,73,79,20000.0,5500000.0
J. Plata,Ecuador,Real Salt Lake,ST LW ,25,1846,93.0,52.0,92.0,87.0,70.0,70.0,60.0,70.0,74.0,68.0,64.0,46.0,64.0,55.0,66.0,69.0,69.0,66.0,74.0,86.0,74.0,72.0,64.0,54.0,74.0,73,73,10000.0,4300000.0
W. Weghorst,Netherlands,AZ Alkmaar,ST ,24,1660,44.0,71.0,64.0,41.0,73.0,78.0,42.0,36.0,62.0,77.0,37.0,81.0,77.0,31.0,55.0,72.0,73.0,63.0,77.0,69.0,80.0,54.0,63.0,84.0,66.0,73,76,11000.0,5000000.0
Borja García,Spain,Girona CF,LM ST CM ,26,1938,81.0,47.0,77.0,77.0,75.0,61.0,64.0,65.0,73.0,72.0,51.0,53.0,72.0,72.0,71.0,62.0,68.0,76.0,65.0,76.0,69.0,73.0,59.0,69.0,70.0,73,76,23000.0,4900000.0
K. Sigþórsson,Iceland,FC Nantes,ST ,27,1755,56.0,63.0,56.0,54.0,67.0,74.0,46.0,51.0,64.0,74.0,52.0,77.0,68.0,58.0,66.0,69.0,77.0,61.0,76.0,64.0,72.0,63.0,69.0,80.0,74.0,73,73,25000.0,4300000.0
A. del Valle,Colombia,CD Los Millionarios Bogota,ST ,28,1794,81.0,35.0,80.0,79.0,71.0,71.0,59.0,65.0,72.0,75.0,59.0,66.0,63.0,49.0,74.0,78.0,69.0,64.0,76.0,80.0,76.0,68.0,74.0,74.0,71.0,73,73,6000.0,4099999.9999999995
Adama,Spain,Middlesbrough,RW RM ,21,1693,92.0,48.0,80.0,81.0,78.0,71.0,70.0,54.0,85.0,61.0,42.0,40.0,75.0,52.0,49.0,47.0,67.0,68.0,71.0,94.0,66.0,43.0,47.0,80.0,63.0,73,85,15000.0,7000000.0
F. Forestieri,Italy,Sheffield Wednesday,LM ST ,27,1922,83.0,70.0,93.0,85.0,78.0,71.0,62.0,70.0,78.0,73.0,63.0,59.0,84.0,60.0,74.0,73.0,69.0,71.0,72.0,78.0,78.0,70.0,67.0,61.0,72.0,73,73,55000.0,4300000.0
Kim Seung Joon,Korea Republic,Ulsan Hyundai Horang-i,RW LM ,22,1670,81.0,27.0,77.0,77.0,74.0,60.0,68.0,48.0,73.0,65.0,27.0,57.0,55.0,53.0,64.0,58.0,75.0,68.0,69.0,81.0,81.0,71.0,60.0,61.0,67.0,73,79,8000.0,5500000.0
A. Cornelius,Denmark,Atalanta,ST ,24,1695,68.0,71.0,49.0,69.0,70.0,71.0,42.0,45.0,67.0,73.0,56.0,77.0,75.0,43.0,68.0,65.0,71.0,65.0,75.0,71.0,71.0,50.0,67.0,90.0,66.0,73,78,25000.0,5500000.0
C. Larin,Canada,Orlando City Soccer Club,ST ,22,1589,67.0,64.0,58.0,54.0,68.0,66.0,35.0,43.0,66.0,75.0,22.0,73.0,63.0,21.0,66.0,63.0,74.0,62.0,82.0,73.0,70.0,53.0,55.0,81.0,68.0,73,81,9000.0,6000000.0
P. Etebo,Nigeria,CD Feirense,CAM ST LM ,21,1795,85.0,47.0,85.0,78.0,76.0,67.0,64.0,64.0,77.0,66.0,66.0,67.0,80.0,52.0,62.0,65.0,73.0,70.0,81.0,84.0,68.0,65.0,68.0,61.0,76.0,73,82,9000.0,6000000.0
P. Chavarría,Argentina,Stade de Reims,RM ST ,29,1868,74.0,68.0,76.0,71.0,73.0,64.0,68.0,57.0,72.0,72.0,58.0,68.0,78.0,62.0,65.0,63.0,73.0,74.0,72.0,76.0,77.0,70.0,61.0,73.0,72.0,73,73,12000.0,4000000.0
Ademilson,Brazil,Gamba Osaka,RM ST ,23,1823,87.0,57.0,90.0,63.0,78.0,73.0,50.0,63.0,80.0,72.0,49.0,64.0,81.0,48.0,70.0,72.0,67.0,66.0,73.0,92.0,76.0,60.0,64.0,72.0,65.0,73,79,13000.0,5500000.0
F. Zampedri,Argentina,Rosario Central,ST ,29,1674,71.0,66.0,61.0,62.0,69.0,69.0,50.0,45.0,70.0,74.0,33.0,72.0,78.0,46.0,72.0,67.0,73.0,63.0,75.0,73.0,66.0,56.0,63.0,81.0,68.0,73,73,20000.0,4000000.0
A. Zeneli,Kosovo,SC Heerenveen,RW LW ,22,1795,88.0,61.0,86.0,82.0,78.0,67.0,71.0,78.0,83.0,66.0,67.0,50.0,34.0,54.0,68.0,50.0,61.0,66.0,72.0,85.0,73.0,60.0,62.0,54.0,67.0,73,78,11000.0,5500000.0
N. Stojiljković,Serbia,Kayserispor,ST ,24,1787,67.0,79.0,64.0,58.0,70.0,65.0,56.0,54.0,70.0,72.0,35.0,79.0,76.0,51.0,64.0,72.0,72.0,64.0,77.0,68.0,73.0,61.0,75.0,75.0,71.0,73,77,12000.0,5500000.0
A. Limbombe,Belgium,Club Brugge KV,LW LM ,22,1760,89.0,26.0,91.0,83.0,76.0,64.0,79.0,77.0,78.0,63.0,66.0,36.0,85.0,59.0,74.0,46.0,63.0,66.0,77.0,87.0,66.0,52.0,70.0,56.0,66.0,73,80,19000.0,5500000.0
M. Samatta,Tanzania,KRC Genk,ST ,24,1743,79.0,53.0,78.0,65.0,64.0,71.0,63.0,65.0,70.0,76.0,57.0,70.0,84.0,45.0,65.0,70.0,72.0,63.0,76.0,83.0,65.0,56.0,69.0,73.0,67.0,73,78,16000.0,5500000.0
J. Cabot,France,FC Lorient,ST LM RM ,23,1733,91.0,32.0,80.0,92.0,76.0,63.0,65.0,57.0,81.0,73.0,50.0,38.0,65.0,54.0,66.0,55.0,69.0,68.0,65.0,91.0,61.0,54.0,54.0,52.0,65.0,73,79,8000.0,5500000.0
M. Bolaños,Ecuador,Club Tijuana,ST RW CAM ,27,1780,87.0,57.0,75.0,83.0,73.0,56.0,58.0,63.0,78.0,72.0,56.0,43.0,57.0,61.0,68.0,61.0,73.0,65.0,73.0,78.0,74.0,73.0,64.0,56.0,69.0,73,74,22000.0,4600000.0
R. Philippoteaux,France,AJ Auxerre,LW RM LM ,29,1813,82.0,42.0,80.0,88.0,73.0,66.0,64.0,58.0,75.0,71.0,49.0,43.0,49.0,63.0,66.0,48.0,76.0,69.0,68.0,80.0,76.0,69.0,64.0,55.0,68.0,73,73,10000.0,3900000.0
G. Cunningham,Republic of Ireland,Preston North End,CB LWB LB ,26,1880,78.0,80.0,73.0,69.0,69.0,72.0,73.0,47.0,68.0,50.0,52.0,69.0,75.0,65.0,54.0,44.0,60.0,67.0,60.0,78.0,86.0,55.0,25.0,72.0,72.0,73,74,15000.0,3800000.0
B. Assombalonga,DR Congo,Middlesbrough,ST ,24,1806,81.0,55.0,70.0,77.0,69.0,71.0,59.0,71.0,67.0,74.0,46.0,66.0,75.0,48.0,65.0,65.0,74.0,59.0,71.0,82.0,64.0,59.0,62.0,80.0,73.0,73,74,18000.0,4900000.0
M. Urruti,Argentina,FC Dallas,ST ,26,1913,79.0,80.0,76.0,78.0,72.0,70.0,36.0,65.0,71.0,75.0,52.0,63.0,68.0,49.0,74.0,66.0,73.0,68.0,80.0,77.0,82.0,61.0,74.0,63.0,72.0,73,74,10000.0,4800000.0
D. Ciofani,Italy,Frosinone,ST ,31,1535,61.0,66.0,34.0,39.0,68.0,74.0,26.0,29.0,53.0,75.0,48.0,78.0,86.0,23.0,71.0,65.0,79.0,57.0,77.0,69.0,58.0,38.0,55.0,80.0,74.0,73,73,6000.0,3600000.0
R. Noir,Argentina,Racing Club de Avellaneda,RW LW ,30,1905,89.0,55.0,78.0,78.0,71.0,68.0,69.0,69.0,72.0,71.0,47.0,62.0,68.0,67.0,68.0,59.0,69.0,71.0,72.0,89.0,87.0,68.0,66.0,68.0,69.0,73,73,21000.0,3800000.0
S. Zoller,Germany,1. FC Köln,RM ST ,26,1772,78.0,52.0,73.0,73.0,73.0,66.0,68.0,69.0,71.0,78.0,55.0,63.0,62.0,54.0,63.0,66.0,75.0,70.0,72.0,78.0,67.0,64.0,74.0,62.0,71.0,73,76,35000.0,5000000.0
Mateus,Angola,Boavista FC,ST LM RM ,33,1868,78.0,66.0,75.0,72.0,68.0,71.0,67.0,61.0,77.0,71.0,74.0,56.0,74.0,61.0,69.0,59.0,73.0,68.0,73.0,85.0,78.0,68.0,70.0,65.0,71.0,73,73,10000.0,2400000.0
J. Correa,Argentina,Sevilla FC,ST RM CAM LM ,22,1749,71.0,48.0,72.0,60.0,77.0,60.0,73.0,69.0,76.0,69.0,63.0,43.0,36.0,71.0,71.0,57.0,67.0,76.0,74.0,75.0,61.0,71.0,67.0,67.0,68.0,73,82,14000.0,6000000.0
G. Fernández,Argentina,Estudiantes de La Plata,ST CAM ,33,1835,74.0,56.0,82.0,74.0,73.0,72.0,57.0,73.0,73.0,68.0,75.0,68.0,74.0,68.0,71.0,63.0,70.0,72.0,78.0,72.0,58.0,75.0,69.0,51.0,61.0,73,73,17000.0,2400000.0
F. Kudryashov,Russia,Rubin Kazan,LWB CB ,30,1814,71.0,71.0,74.0,64.0,69.0,69.0,71.0,47.0,61.0,41.0,41.0,63.0,70.0,60.0,56.0,46.0,45.0,67.0,43.0,73.0,72.0,58.0,51.0,73.0,74.0,73,73,37000.0,3000000.0
K. Coulibaly,Mali,FC Nantes,ST ,25,1691,68.0,62.0,59.0,36.0,66.0,67.0,63.0,46.0,63.0,74.0,39.0,81.0,74.0,49.0,63.0,68.0,69.0,66.0,73.0,78.0,74.0,61.0,68.0,83.0,69.0,73,76,24000.0,5000000.0
F. Di Francesco,Italy,Bologna,RW CF LW ,23,1761,77.0,38.0,79.0,77.0,78.0,68.0,75.0,75.0,80.0,60.0,66.0,36.0,44.0,67.0,64.0,69.0,70.0,75.0,72.0,79.0,69.0,68.0,70.0,54.0,68.0,73,81,44000.0,6000000.0
B. Kuwas,Netherlands,Heracles Almelo,RW ,24,1799,80.0,56.0,75.0,78.0,75.0,72.0,64.0,75.0,82.0,67.0,75.0,39.0,65.0,66.0,77.0,56.0,68.0,68.0,80.0,78.0,67.0,69.0,62.0,68.0,67.0,73,76,11000.0,5000000.0
A. Uchida,Japan,1. FC Union Berlin,RWB RB ,29,1862,69.0,60.0,73.0,75.0,76.0,70.0,75.0,68.0,75.0,36.0,36.0,61.0,72.0,73.0,49.0,41.0,71.0,74.0,68.0,69.0,55.0,65.0,34.0,46.0,73.0,73,73,30000.0,3000000.0
A. Rudņevs,Latvia,1. FC Köln,ST ,29,1787,76.0,79.0,68.0,66.0,68.0,68.0,44.0,53.0,60.0,71.0,46.0,74.0,80.0,39.0,70.0,74.0,72.0,58.0,81.0,79.0,78.0,54.0,78.0,77.0,75.0,73,73,36000.0,4000000.0
K. Monnet-Paquet,France,AS Saint-Étienne,RW LW ,28,1943,84.0,64.0,77.0,70.0,71.0,68.0,73.0,68.0,73.0,70.0,58.0,63.0,66.0,63.0,67.0,57.0,70.0,73.0,74.0,83.0,83.0,70.0,68.0,73.0,66.0,73,73,37000.0,4000000.0
C. Njie,Cameroon,Olympique de Marseille,LW ST ,23,1848,91.0,66.0,93.0,88.0,68.0,71.0,66.0,66.0,75.0,73.0,46.0,51.0,60.0,61.0,61.0,56.0,76.0,70.0,75.0,94.0,77.0,64.0,69.0,61.0,76.0,73,78,26000.0,5500000.0
F. Diedhiou,Senegal,Bristol City,ST ,24,1582,55.0,49.0,60.0,58.0,68.0,56.0,33.0,53.0,65.0,77.0,33.0,81.0,62.0,35.0,58.0,75.0,80.0,53.0,75.0,63.0,58.0,48.0,63.0,88.0,62.0,73,77,40000.0,5500000.0
M. Santos,Uruguay,Real Sporting de Gijón,LM RM ST ,24,1808,73.0,77.0,62.0,77.0,71.0,61.0,63.0,67.0,72.0,74.0,68.0,70.0,74.0,57.0,64.0,72.0,73.0,65.0,78.0,72.0,59.0,65.0,70.0,72.0,74.0,73,79,22000.0,5500000.0
M. Uribe,Colombia,Club América,RW CDM CM ,26,2019,76.0,72.0,70.0,73.0,71.0,68.0,70.0,63.0,70.0,70.0,66.0,67.0,75.0,76.0,68.0,68.0,66.0,75.0,66.0,75.0,91.0,66.0,43.0,74.0,69.0,73,74,48000.0,4600000.0
L. Castaignos,Netherlands,Vitesse,ST ,24,1794,68.0,71.0,67.0,66.0,69.0,67.0,52.0,67.0,70.0,71.0,49.0,68.0,76.0,58.0,68.0,62.0,73.0,71.0,76.0,75.0,70.0,68.0,69.0,77.0,73.0,73,77,15000.0,5500000.0
I. Mboyo,Belgium,FC Sion,ST ,30,1872,71.0,69.0,71.0,59.0,74.0,83.0,66.0,62.0,76.0,70.0,66.0,72.0,81.0,58.0,69.0,71.0,75.0,70.0,71.0,73.0,73.0,70.0,62.0,81.0,70.0,73,73,22000.0,3900000.0
Nano,Spain,Levante UD,LM CAM ST ,22,1768,87.0,38.0,75.0,77.0,74.0,65.0,62.0,72.0,70.0,75.0,48.0,60.0,74.0,46.0,63.0,69.0,79.0,66.0,74.0,78.0,67.0,61.0,67.0,67.0,72.0,73,80,19000.0,5500000.0
K. Havertz,Germany,Bayer 04 Leverkusen,CF CAM RM ,18,1740,76.0,40.0,77.0,71.0,74.0,66.0,67.0,59.0,76.0,63.0,45.0,61.0,69.0,69.0,50.0,49.0,69.0,76.0,60.0,69.0,61.0,76.0,56.0,60.0,70.0,73,88,25000.0,8000000.0
Johnathan,Brazil,Suwon Samsung Bluewings,ST ,27,1815,77.0,63.0,73.0,63.0,74.0,67.0,63.0,58.0,71.0,74.0,57.0,69.0,69.0,54.0,68.0,58.0,70.0,68.0,77.0,76.0,84.0,62.0,70.0,68.0,69.0,73,73,11000.0,4300000.0
J. Maclaren,Australia,SV Darmstadt 98,ST ,23,1911,87.0,71.0,85.0,84.0,67.0,74.0,57.0,70.0,67.0,74.0,59.0,62.0,84.0,50.0,60.0,74.0,77.0,61.0,66.0,85.0,83.0,63.0,65.0,72.0,84.0,73,77,23000.0,5500000.0
Tiago,Brazil,Shimizu S-Pulse,LM CF ,24,1878,84.0,46.0,72.0,69.0,77.0,64.0,74.0,79.0,74.0,75.0,70.0,54.0,72.0,70.0,72.0,71.0,73.0,73.0,70.0,82.0,60.0,66.0,63.0,67.0,64.0,73,74,35000.0,4900000.0
M. Mohammadi,Iran,Terek Grozny,LWB LB ,23,1902,87.0,65.0,80.0,74.0,72.0,62.0,72.0,59.0,74.0,48.0,50.0,55.0,53.0,57.0,60.0,61.0,60.0,63.0,57.0,90.0,78.0,65.0,55.0,67.0,71.0,73,80,25000.0,4700000.0
Laure,Spain,AD Alcorcón,RWB RB ,32,1814,72.0,68.0,72.0,87.0,71.0,62.0,71.0,61.0,63.0,44.0,39.0,55.0,69.0,63.0,26.0,48.0,44.0,67.0,68.0,72.0,71.0,56.0,54.0,56.0,74.0,73,73,11000.0,2200000.0
T. Ndoro,Zimbabwe,Al Faisaly,CF ST ,29,1650,70.0,44.0,67.0,65.0,68.0,70.0,39.0,58.0,68.0,75.0,60.0,73.0,65.0,30.0,69.0,70.0,78.0,56.0,76.0,73.0,69.0,65.0,60.0,75.0,65.0,73,73,29000.0,4000000.0
Wu Lei,China PR,,CF LM RM ST ,25,1790,84.0,49.0,79.0,83.0,70.0,60.0,64.0,45.0,73.0,76.0,44.0,68.0,67.0,54.0,65.0,68.0,77.0,72.0,74.0,84.0,71.0,70.0,71.0,44.0,72.0,73,76,0.0,0.0
Richarlison,Brazil,Watford,CAM RM CF LM ,20,1753,83.0,68.0,78.0,70.0,76.0,70.0,63.0,40.0,78.0,72.0,34.0,70.0,60.0,42.0,63.0,71.0,76.0,68.0,74.0,79.0,79.0,69.0,63.0,76.0,72.0,73,85,38000.0,7000000.0
M. Gregoritsch,Austria,FC Augsburg,RM LM ST CAM ,23,1850,65.0,58.0,66.0,52.0,76.0,65.0,65.0,82.0,73.0,69.0,78.0,70.0,50.0,68.0,78.0,64.0,72.0,73.0,80.0,69.0,69.0,68.0,66.0,75.0,71.0,73,79,21000.0,5500000.0
L. Siligardi,Italy,Parma,LM LW RW ,29,1786,80.0,38.0,82.0,83.0,78.0,67.0,71.0,74.0,75.0,63.0,68.0,46.0,34.0,65.0,77.0,61.0,70.0,71.0,72.0,82.0,76.0,63.0,69.0,67.0,69.0,73,73,7000.0,3900000.0
Rafael Martins,Brazil,Vitória Guimarães,ST ,28,1797,70.0,78.0,69.0,74.0,71.0,76.0,59.0,64.0,66.0,73.0,65.0,67.0,75.0,45.0,69.0,74.0,74.0,65.0,85.0,70.0,64.0,58.0,75.0,71.0,68.0,73,73,13000.0,4099999.9999999995
J. Furch,Argentina,Santos Laguna,ST ,27,1735,53.0,65.0,55.0,48.0,70.0,76.0,51.0,62.0,65.0,77.0,48.0,78.0,67.0,57.0,66.0,64.0,78.0,63.0,75.0,61.0,76.0,62.0,63.0,86.0,68.0,73,73,24000.0,4300000.0
F. Tabanou,France,En Avant de Guingamp,LW LM LWB LB ,28,2065,78.0,67.0,75.0,73.0,72.0,72.0,77.0,74.0,69.0,59.0,75.0,68.0,76.0,72.0,76.0,73.0,67.0,73.0,80.0,68.0,69.0,66.0,69.0,72.0,69.0,73,73,22000.0,3200000.0
N. Bendtner,Denmark,Rosenborg BK,ST ,29,1790,70.0,68.0,58.0,48.0,74.0,78.0,62.0,62.0,70.0,69.0,41.0,78.0,70.0,67.0,64.0,77.0,66.0,68.0,78.0,67.0,60.0,72.0,73.0,84.0,72.0,73,73,10000.0,4000000.0
