Name,Nationality,Club,Preferred Positions,Age,Special,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Overall,Potential,Value,Wage
Yu Sang Hun,Korea Republic,Sangju Sangmu FC,GK ,28,1124,71.0,68.0,64.0,68.0,71.0,70,70,1200000.0,5000.0
A. Lukse,Austria,SCR Altach,GK ,29,1097,71.0,68.0,60.0,69.0,71.0,70,70,1200000.0,10000.0
J. Carrasso,France,Stade de Reims,GK ,29,1057,68.0,73.0,66.0,71.0,66.0,70,70,1200000.0,6000.0
S. Colombi,Italy,Carpi,GK ,26,1123,71.0,69.0,53.0,68.0,76.0,70,74,1600000.0,3000.0
H. Jurjus,Netherlands,Roda JC Kerkrade,GK ,23,1182,73.0,65.0,66.0,65.0,74.0,70,77,1800000.0,7000.0
W. Sandilands,South Africa,Orlando Pirates,GK ,33,1133,66.0,75.0,67.0,71.0,68.0,70,70,900000.0,1000.0
T. Kaminski,Belgium,KV Kortrijk,GK ,24,1137,70.0,72.0,64.0,64.0,74.0,70,74,1700000.0,7000.0
D. Rudd,England,Preston North End,GK ,26,1137,75.0,66.0,65.0,66.0,74.0,70,74,1600000.0,8000.0
Ratón,Spain,Real Zaragoza,GK ,24,1111,66.0,71.0,70.0,70.0,69.0,70,77,1800000.0,5000.0
Dani Giménez,Spain,Real Betis Balompié,GK ,33,1040,71.0,65.0,65.0,65.0,76.0,70,70,900000.0,12000.0
D. Petrić,Serbia,En Avant de Guingamp,GK ,29,1022,71.0,62.0,59.0,71.0,73.0,70,70,1200000.0,13000.0
Y. Godzyur,Ukraine,FC Ural,GK ,32,1066,69.0,71.0,63.0,71.0,67.0,70,70,1000000.0,17000.0
J. Grahl,Germany,VfB Stuttgart,GK ,28,1106,73.0,65.0,60.0,66.0,74.0,70,71,1400000.0,14000.0
Rui Silva,Portugal,Granada CF,GK ,23,1092,72.0,66.0,62.0,67.0,72.0,70,76,1800000.0,5000.0
F. Nita,Romania,,GK ,29,1002,73.0,67.0,54.0,72.0,71.0,70,70,0.0,0.0
A. Lindegaard,Denmark,Burnley,GK ,33,1252,70.0,73.0,69.0,68.0,67.0,70,70,900000.0,26000.0
A. Walke,Germany,FC Red Bull Salzburg,GK ,34,1156,71.0,67.0,73.0,66.0,72.0,70,70,725000.0,16000.0
D. Verhulst,Belgium,Sporting Lokeren,GK ,29,1067,71.0,69.0,70.0,69.0,70.0,70,70,1200000.0,9000.0
A. Ahamada,Comoros,Kayserispor,GK ,25,1138,78.0,62.0,58.0,64.0,75.0,70,72,1500000.0,8000.0
S. Nishikawa,Japan,Urawa Red Diamonds,GK ,31,1252,73.0,68.0,77.0,70.0,73.0,70,70,1100000.0,7000.0
R. Himmelmann,Germany,FC St. Pauli,GK ,28,1077,67.0,64.0,61.0,70.0,75.0,70,71,1400000.0,11000.0
Mejías,Spain,Middlesbrough,GK ,28,1188,69.0,71.0,73.0,68.0,70.0,70,71,1400000.0,10000.0
D. Keet,South Africa,,GK ,27,1187,71.0,69.0,68.0,67.0,71.0,70,71,0.0,0.0
J. Mucha,Slovakia,Termalica Bruk-Bet Nieciecza,GK ,34,1154,72.0,69.0,64.0,63.0,74.0,70,70,725000.0,4000.0
J. Busk,Denmark,1. FC Union Berlin,GK ,23,1093,73.0,62.0,67.0,66.0,75.0,70,76,1800000.0,13000.0
Cifuentes,Spain,Cádiz C.F.,GK ,38,1154,62.0,76.0,60.0,79.0,65.0,70,70,120000.0,3000.0
Manu Herrera,Spain,CA Osasuna,GK ,35,1143,69.0,71.0,68.0,71.0,67.0,70,70,425000.0,4000.0
A. Seculin,Italy,Chievo Verona,GK ,26,1008,73.0,67.0,57.0,63.0,79.0,70,74,1600000.0,9000.0
E. Martinez,Argentina,Getafe CF,GK ,24,1269,71.0,68.0,73.0,67.0,72.0,70,76,1800000.0,35000.0
P. Gollini,Italy,Atalanta,GK ,22,1154,73.0,59.0,60.0,70.0,76.0,70,78,2000000.0,15000.0
F. Agliardi,Italy,Cesena,GK ,34,1182,70.0,66.0,64.0,67.0,72.0,70,70,725000.0,2000.0
E. Unsain,Argentina,Defensa y Justicia,GK ,22,1150,78.0,64.0,73.0,60.0,74.0,70,77,1800000.0,6000.0
K. Darlow,England,Newcastle United,GK ,26,1174,70.0,69.0,64.0,66.0,73.0,70,74,1600000.0,30000.0
E. Dreer,Ecuador,,GK ,35,997,70.0,68.0,62.0,68.0,70.0,70,70,0.0,0.0
A. Şahin,Turkey,Kardemir Karabükspor,GK ,39,977,68.0,69.0,68.0,76.0,70.0,70,70,120000.0,5000.0
B. Leroy,France,Dijon FCO,GK ,28,969,71.0,67.0,61.0,69.0,69.0,70,71,1400000.0,11000.0
A. Bogdán,Hungary,Liverpool,GK ,29,1087,71.0,68.0,66.0,69.0,72.0,70,70,1200000.0,45000.0
C. Álvarez,Argentina,Real Zaragoza,GK ,31,1122,70.0,69.0,69.0,70.0,72.0,70,70,1100000.0,6000.0
Jung Sung Ryong,Korea Republic,Kawasaki Frontale,GK ,32,1049,70.0,67.0,79.0,69.0,69.0,70,70,1000000.0,5000.0
D. Roef,Belgium,Waasland-Beveren,GK ,23,1231,74.0,71.0,66.0,65.0,72.0,70,76,1800000.0,10000.0
D. González,Colombia,Independiente Medellín,GK ,34,1072,66.0,72.0,66.0,74.0,68.0,70,70,725000.0,3000.0
H. Van Crombrugge,Belgium,KAS Eupen,GK ,24,1141,72.0,67.0,66.0,66.0,73.0,70,76,1800000.0,6000.0
O. Vlachodimos,Germany,Panathinaikos FC,GK ,23,1101,72.0,67.0,65.0,67.0,75.0,70,75,1700000.0,1000.0
Victor Fachinhas,Brazil,Clube Atlético Mineiro,GK ,33,1063,69.0,73.0,58.0,63.0,74.0,70,70,900000.0,17000.0
Z. Brkić,Serbia,PAOK Thessaloniki,GK ,30,1070,71.0,68.0,57.0,71.0,75.0,70,70,1100000.0,1000.0
Jairo Farnias,Brazil,Cruzeiro,GK ,29,1108,64.0,68.0,69.0,68.0,75.0,70,70,1200000.0,16000.0
A. Malarz,Poland,Legia Warszawa,GK ,37,1175,69.0,62.0,59.0,69.0,74.0,70,70,120000.0,4000.0
A. Diallo,Senegal,Stade Rennais FC,GK ,25,1125,70.0,65.0,65.0,72.0,68.0,70,75,1700000.0,12000.0
J. Silva,Paraguay,Deportes Tolima,GK ,28,1143,74.0,68.0,76.0,67.0,68.0,70,70,1200000.0,1000.0
A. Paschalakis,Greece,PAOK Thessaloniki,GK ,27,1115,72.0,68.0,55.0,68.0,72.0,70,72,1400000.0,1000.0
António Filipe,Portugal,Grupo Desportivo de Chaves,GK ,32,1045,70.0,70.0,62.0,68.0,72.0,70,70,1000000.0,5000.0
D. Ward,Wales,Liverpool,GK ,24,1148,70.0,69.0,63.0,67.0,73.0,70,78,2000000.0,35000.0
A. Batalla,Argentina,River Plate,GK ,21,1114,72.0,69.0,65.0,62.0,73.0,70,80,2200000.0,8000.0
M. Gilks,Scotland,Scunthorpe United,GK ,35,1093,70.0,69.0,68.0,68.0,69.0,70,70,425000.0,5000.0
G. Hubert,Belgium,Club Brugge KV,GK ,23,1086,70.0,72.0,66.0,67.0,71.0,70,75,1700000.0,10000.0
M. Langer,Austria,FC Schalke 04,GK ,32,1055,70.0,66.0,60.0,73.0,73.0,70,70,1000000.0,18000.0
R. Di Gennaro,Italy,La Spezia,GK ,23,1094,71.0,67.0,59.0,67.0,74.0,70,75,1700000.0,23000.0
M. Gersbeck,Germany,VfL Osnabrück,GK ,22,1142,67.0,72.0,66.0,68.0,70.0,70,78,2000000.0,1000.0
Munir,Morocco,CD Numancia,GK ,28,1232,67.0,70.0,62.0,72.0,69.0,70,71,1400000.0,6000.0
Yan Junling,China PR,,GK ,26,1178,72.0,68.0,69.0,67.0,74.0,70,71,0.0,0.0
I. Crudelo,Chile,Club de Deportes Temuco,GK ,33,1033,69.0,71.0,46.0,70.0,73.0,69,69,525000.0,2000.0
V. Barkas,Greece,AEK Athens,GK ,23,1043,71.0,65.0,63.0,67.0,69.0,69,75,1100000.0,1000.0
Juan Carlos,Spain,CD Lugo,GK ,29,1235,72.0,64.0,65.0,67.0,73.0,69,71,850000.0,5000.0
Ailton Cardenhas,Brazil,Coritiba Foot Ball Club,GK ,29,969,68.0,70.0,70.0,76.0,69.0,69,69,700000.0,11000.0
S. Bolat,Turkey,Royal Antwerp FC,GK ,28,1148,69.0,67.0,71.0,67.0,70.0,69,69,750000.0,7000.0
J. Brondeel,Belgium,FC Twente,GK ,23,1089,71.0,68.0,68.0,66.0,71.0,69,75,1100000.0,4000.0
A. Werner,Argentina,Atlético Madrid,GK ,21,1135,78.0,67.0,74.0,64.0,70.0,69,81,1500000.0,14000.0
P. Carlgren,Sweden,Atiker Konyaspor,GK ,25,1058,76.0,57.0,55.0,65.0,75.0,69,75,1000000.0,8000.0
A. Kwarasey,Ghana,Vålerenga Fotball,GK ,29,1216,66.0,71.0,67.0,66.0,69.0,69,70,825000.0,3000.0
S. García,Mexico,Tiburones Rojos de Veracruz,GK ,34,1210,67.0,70.0,63.0,70.0,69.0,69,69,425000.0,4000.0
S. Narubin,Russia,Dinamo Moscow,GK ,35,1097,67.0,70.0,64.0,71.0,69.0,69,69,250000.0,9000.0
D. Perquis,France,Valenciennes FC,GK ,31,1119,66.0,68.0,64.0,71.0,72.0,69,69,650000.0,3000.0
E. Marcinal,Chile,San Luis de Quillota,GK ,25,1098,75.0,66.0,65.0,64.0,72.0,69,69,750000.0,2000.0
Lee Tae Hee,Korea Republic,Incheon United FC,GK ,22,1148,69.0,67.0,63.0,69.0,70.0,69,77,1200000.0,3000.0
A. Kochenkov,Russia,Lokomotiv Moscow,GK ,30,1109,65.0,66.0,67.0,72.0,73.0,69,69,675000.0,17000.0
A. Weis,Germany, SSV Jahn Regensburg,GK ,27,1031,74.0,67.0,63.0,59.0,76.0,69,71,850000.0,6000.0
P. Bernardoni,France,Clermont Foot 63,GK ,20,1006,71.0,69.0,68.0,69.0,72.0,69,78,1200000.0,12000.0
J. Smith,England,Nottingham Forest,GK ,22,1039,68.0,69.0,58.0,69.0,72.0,69,77,1200000.0,10000.0
M. Maroles,Chile,Santiago Wanderers,GK ,33,1134,76.0,62.0,77.0,55.0,76.0,69,69,525000.0,3000.0
C. Pinsoglio,Italy,Juventus,GK ,27,1062,75.0,65.0,54.0,64.0,75.0,69,69,700000.0,34000.0
J. Bendik,United States,Orlando City Soccer Club,GK ,28,1001,67.0,66.0,63.0,69.0,72.0,69,71,875000.0,4000.0
D. Heuer Fernandes,Portugal,SV Darmstadt 98,GK ,24,1100,68.0,66.0,75.0,63.0,74.0,69,75,1100000.0,9000.0
N. Marsman,Netherlands,FC Utrecht,GK ,26,1117,70.0,62.0,72.0,65.0,76.0,69,71,875000.0,6000.0
Quim,Portugal,CD Aves,GK ,41,1215,65.0,66.0,64.0,74.0,72.0,69,69,70000.0,3000.0
Gu Sung Yun,Korea Republic,Hokkaido Consadole Sapporo,GK ,23,1007,68.0,63.0,58.0,71.0,73.0,69,77,1200000.0,2000.0
Caio Padricio,Brazil,Fluminense Football Club,GK ,33,1014,69.0,71.0,46.0,70.0,73.0,69,69,525000.0,15000.0
S. Rochet,Uruguay,Medicana Sivasspor,GK ,24,1149,73.0,63.0,65.0,63.0,76.0,69,73,975000.0,6000.0
R. Zapata,Colombia,Independiente Santa Fe,GK ,38,1169,66.0,70.0,69.0,71.0,64.0,69,69,70000.0,2000.0
S. Ekramy,Egypt,,GK ,33,1148,65.0,69.0,77.0,64.0,79.0,69,69,0.0,0.0
A. Mitryushkin,Russia,FC Sion,GK ,21,1105,71.0,64.0,66.0,69.0,72.0,69,82,1600000.0,6000.0
J. Musso,Argentina,Racing Club de Avellaneda,GK ,23,1093,71.0,67.0,66.0,68.0,74.0,69,76,1100000.0,7000.0
A. Al Mayoof,Saudi Arabia,Al Hilal,GK ,30,1113,65.0,67.0,62.0,67.0,75.0,69,69,675000.0,16000.0
A. Vural,Turkey,Medicana Sivasspor,GK ,26,1144,72.0,63.0,61.0,68.0,74.0,69,71,875000.0,7000.0
T. Kirschbaum,Germany,1. FC Nürnberg,GK ,30,1010,72.0,67.0,68.0,62.0,71.0,69,69,675000.0,6000.0
B. Khuzwayo,South Africa,Kaizer Chiefs,GK ,27,1081,71.0,71.0,73.0,67.0,71.0,69,71,850000.0,1000.0
C. Rigamonti,Argentina,Vélez Sarsfield,GK ,30,1120,67.0,64.0,62.0,74.0,69.0,69,69,675000.0,6000.0
S. Clark,United States,D.C. United,GK ,31,1106,68.0,61.0,72.0,68.0,71.0,69,69,650000.0,4000.0
G. Lajud,Mexico,Club Tijuana,GK ,23,1119,71.0,66.0,62.0,69.0,72.0,69,75,1100000.0,8000.0
I. Vargić,Croatia,Lazio,GK ,30,940,68.0,67.0,65.0,69.0,72.0,69,69,675000.0,18000.0
P. Delecroix,France,FC Lorient,GK ,28,1102,70.0,69.0,70.0,68.0,69.0,69,72,925000.0,4000.0
M. Gorgelin,France,Olympique Lyonnais,GK ,26,1047,76.0,64.0,66.0,65.0,72.0,69,73,950000.0,23000.0
M. Schwäbe,Germany,SG Dynamo Dresden,GK ,22,1200,72.0,66.0,70.0,61.0,74.0,69,76,1100000.0,12000.0
M. Delač,Croatia,Chelsea,GK ,24,1008,71.0,67.0,64.0,64.0,73.0,69,72,950000.0,31000.0
Aitor,Spain,CD Numancia,GK ,26,1199,72.0,68.0,62.0,74.0,64.0,69,72,925000.0,5000.0
Caro,Spain,Sevilla Atlético,GK ,23,1149,65.0,73.0,66.0,74.0,62.0,69,76,1100000.0,3000.0
C. Bonilla,Colombia,La Equidad,GK ,24,1162,72.0,67.0,59.0,64.0,74.0,69,76,1100000.0,2000.0
R. M'Bolhi,Algeria,Stade Rennais FC,GK ,31,1204,70.0,62.0,63.0,61.0,78.0,69,69,650000.0,10000.0
M. Lukač,Serbia,Akhisar Belediyespor,GK ,31,1108,67.0,68.0,58.0,71.0,71.0,69,69,650000.0,8000.0
A. Baroja,Venezuela,,GK ,27,1165,67.0,71.0,69.0,64.0,70.0,69,71,0.0,0.0
J. Rodríguez,Mexico,Club Tijuana,GK ,24,1180,72.0,67.0,64.0,65.0,69.0,69,72,950000.0,18000.0
A. Larenardo,Chile,Audax Italiano,GK ,29,969,68.0,70.0,70.0,76.0,69.0,69,69,700000.0,3000.0
Peter Torreiro,Brazil,Grêmio Foot-Ball Porto Alegrense,GK ,25,1098,75.0,66.0,65.0,64.0,72.0,69,69,750000.0,10000.0
M. Dreyer,France,SM Caen,GK ,28,1061,68.0,71.0,66.0,65.0,71.0,69,70,850000.0,11000.0
F. Fielding,England,Bristol City,GK ,29,1125,67.0,67.0,59.0,66.0,72.0,69,69,700000.0,19000.0
Z. Steffen,United States,Columbus Crew SC,GK ,22,1115,69.0,65.0,64.0,63.0,77.0,69,78,1200000.0,3000.0
M. Silvestri,Italy,Hellas Verona,GK ,26,1159,78.0,59.0,54.0,66.0,76.0,69,73,950000.0,12000.0
Luciano Cacheira,Brazil,Associação Chapecoense de Futebol,GK ,33,1063,76.0,62.0,77.0,55.0,76.0,69,69,525000.0,8000.0
M. Kelemen,Slovakia,Jagiellonia Białystok,GK ,37,996,68.0,64.0,65.0,69.0,68.0,69,69,70000.0,3000.0
D. Boer,Netherlands,PEC Zwolle,GK ,36,1103,63.0,75.0,52.0,76.0,66.0,69,69,140000.0,3000.0
M. Sayouba,Ivory Coast,Stabæk Fotball,GK ,24,1129,70.0,65.0,65.0,68.0,73.0,69,74,1000000.0,2000.0
P. Klandt,Germany,SC Freiburg,GK ,33,1067,69.0,68.0,64.0,67.0,70.0,69,69,525000.0,11000.0
K. Müller,Germany,1. FC Heidenheim,GK ,26,1079,69.0,65.0,59.0,68.0,73.0,69,72,925000.0,8000.0
K. Nakamura,Japan,Kashiwa Reysol,GK ,22,1006,74.0,60.0,68.0,57.0,78.0,69,78,1200000.0,5000.0
N. Navarro,Argentina,San Lorenzo de Almagro,GK ,32,1164,69.0,68.0,68.0,68.0,69.0,69,69,600000.0,9000.0
F. Bredlow,Germany,1. FC Nürnberg,GK ,22,994,71.0,68.0,60.0,64.0,71.0,69,77,1200000.0,5000.0
A. Saldívar,Mexico,U.N.A.M.,GK ,27,1153,70.0,66.0,67.0,67.0,72.0,69,71,850000.0,10000.0
M. Hassen,France,La Berrichonne de Châteauroux,GK ,22,1105,75.0,63.0,64.0,68.0,72.0,69,76,1100000.0,11000.0
Mario Fernández,Spain,Rayo Vallecano,GK ,29,1122,70.0,67.0,68.0,70.0,72.0,69,70,825000.0,6000.0
Mário Felgueiras,Portugal,FC Paços de Ferreira,GK ,30,1192,64.0,70.0,66.0,70.0,67.0,69,69,675000.0,5000.0
V. Milinković-Savić,Serbia,Torino,GK ,20,1147,70.0,65.0,71.0,67.0,68.0,69,77,1200000.0,12000.0
A. Dovbnya,Russia,FC SKA-Energiya Khabarovsk,GK ,30,1003,66.0,68.0,71.0,69.0,71.0,69,70,775000.0,10000.0
A. Rosati,Italy,Perugia,GK ,34,1045,68.0,69.0,46.0,70.0,68.0,69,69,425000.0,2000.0
C. Lucchetti,Argentina,Atlético Tucumán,GK ,39,1291,70.0,65.0,75.0,62.0,75.0,69,69,70000.0,3000.0
D. Bernhardt,Germany,VfR Aalen,GK ,31,1033,68.0,67.0,64.0,68.0,73.0,69,69,650000.0,1000.0
A. Sánchez,Argentina,Atlético Tucumán,GK ,30,1016,67.0,64.0,69.0,67.0,74.0,69,69,675000.0,5000.0
L. Steele,England,Bristol City,GK ,32,1229,71.0,66.0,66.0,66.0,71.0,69,69,600000.0,18000.0
N. Ibáñez,Argentina,Newell's Old Boys,GK ,35,1111,74.0,65.0,76.0,64.0,72.0,69,69,250000.0,5000.0
A. Aguerre,Argentina,Vélez Sarsfield,GK ,26,1141,67.0,71.0,59.0,68.0,69.0,69,73,950000.0,7000.0
Pedro Trigueira,Portugal,Vitória Setúbal,GK ,29,1131,71.0,65.0,69.0,68.0,71.0,69,69,700000.0,5000.0
J. Moulin,France,AS Saint-Étienne,GK ,31,1092,70.0,70.0,65.0,66.0,70.0,68,68,550000.0,14000.0
J. Gleeson,New Zealand,Portland Timbers,GK ,27,1084,68.0,67.0,65.0,69.0,69.0,68,72,775000.0,4000.0
J. Contreras,Venezuela,,GK ,22,957,68.0,66.0,65.0,67.0,71.0,68,80,0.0,0.0
Carlos Abad,Spain,CD Tenerife,GK ,22,1162,68.0,69.0,64.0,67.0,66.0,68,80,1300000.0,4000.0
N. Şahin,Turkey,Gençlerbirliği SK,GK ,27,1093,68.0,66.0,64.0,67.0,71.0,68,70,725000.0,8000.0
N. Etheridge,Philippines,Cardiff City,GK ,27,1171,72.0,63.0,62.0,64.0,72.0,68,70,725000.0,13000.0
N. Mäenpää,Finland,Brighton & Hove Albion,GK ,32,1008,70.0,68.0,56.0,64.0,66.0,68,68,525000.0,19000.0
Nicolas,Brazil,Hellas Verona,GK ,29,1100,70.0,67.0,65.0,66.0,70.0,68,68,600000.0,12000.0
S. Allagbé,Benin,Chamois Niortais FC,GK ,23,1043,69.0,66.0,66.0,68.0,70.0,68,76,975000.0,3000.0
Z. Boucher,France,AJ Auxerre,GK ,25,1176,68.0,64.0,71.0,65.0,73.0,68,71,800000.0,4000.0
C. Heimeroth,Germany,Borussia Mönchengladbach,GK ,35,973,64.0,66.0,57.0,70.0,73.0,68,68,210000.0,9000.0
A. Camura,Chile,CD Huachipato,GK ,29,1117,69.0,62.0,75.0,65.0,73.0,68,68,600000.0,4000.0
T. Koubek,Czech Republic,Stade Rennais FC,GK ,24,1025,69.0,67.0,63.0,70.0,64.0,68,72,825000.0,8000.0
D. de Vries,Netherlands,Celtic,GK ,36,1117,68.0,66.0,71.0,65.0,67.0,68,68,120000.0,14000.0
M. van der Hart,Netherlands,PEC Zwolle,GK ,23,1124,73.0,60.0,70.0,62.0,75.0,68,75,925000.0,4000.0
L. Burián,Uruguay,Godoy Cruz,GK ,33,1162,66.0,68.0,61.0,66.0,67.0,68,68,450000.0,6000.0
J. MacDonald,Scotland,Kilmarnock,GK ,31,1080,71.0,62.0,62.0,65.0,72.0,68,68,550000.0,4000.0
L. Azcona,Ecuador,,GK ,33,1176,63.0,56.0,71.0,75.0,78.0,68,68,0.0,0.0
M. McGovern,Northern Ireland,Norwich City,GK ,32,997,69.0,65.0,64.0,68.0,69.0,68,68,525000.0,15000.0
A. Oukidja,France,RC Strasbourg,GK ,28,1082,72.0,66.0,65.0,71.0,70.0,68,70,750000.0,11000.0
L. Kruse,Germany,Holstein Kiel,GK ,33,1069,70.0,67.0,56.0,65.0,72.0,68,68,450000.0,6000.0
I. Pelizzoli,Italy,Foggia,GK ,36,1142,69.0,68.0,65.0,71.0,64.0,68,68,120000.0,2000.0
K. Kronholm,United States,Holstein Kiel,GK ,31,1012,71.0,65.0,61.0,65.0,67.0,68,68,550000.0,6000.0
M. Borjan,Canada,,GK ,29,1143,73.0,59.0,68.0,69.0,69.0,68,68,0.0,0.0
B. Castillo,Colombia,Atlético Huila,GK ,39,1063,62.0,68.0,65.0,73.0,66.0,68,68,60000.0,1000.0
J. Rinne,Sweden,Aalborg BK,GK ,24,1091,76.0,63.0,67.0,62.0,73.0,68,73,875000.0,6000.0
E. Mendy,France,Stade de Reims,GK ,25,907,71.0,56.0,47.0,69.0,72.0,68,74,875000.0,5000.0
A. Demircan,Turkey,Atiker Konyaspor,GK ,26,1114,67.0,64.0,64.0,69.0,72.0,68,70,750000.0,8000.0
J. Gonzalez,United States,FC Dallas,GK ,22,1071,69.0,65.0,64.0,65.0,70.0,68,78,1100000.0,3000.0
M. Kolke,Germany,SV Wehen Wiesbaden,GK ,26,1118,69.0,63.0,60.0,64.0,71.0,68,72,800000.0,1000.0
S. Ortega,Germany,DSC Arminia Bielefeld,GK ,24,1205,69.0,66.0,78.0,63.0,73.0,68,73,875000.0,3000.0
S. Rossbach,Norway,Odds BK,GK ,21,1168,69.0,67.0,65.0,64.0,70.0,68,81,1400000.0,2000.0
A. Bono,United States,Toronto FC,GK ,23,1121,69.0,64.0,66.0,68.0,70.0,68,75,925000.0,3000.0
D. Bingham,United States,San Jose Earthquakes,GK ,27,1091,69.0,64.0,69.0,65.0,69.0,68,71,750000.0,4000.0
O. Hadžikić,Austria,FK Austria Wien,GK ,21,1097,71.0,65.0,67.0,66.0,72.0,68,78,1100000.0,7000.0
J. Siebenhandl,Austria,SK Sturm Graz,GK ,27,1179,68.0,65.0,70.0,66.0,70.0,68,70,725000.0,10000.0
M. Müller,Germany,1. FC Kaiserslautern,GK ,23,1035,69.0,67.0,64.0,64.0,71.0,68,76,975000.0,18000.0
T. Wellenreuther,Germany,Willem II,GK ,21,1128,71.0,64.0,60.0,65.0,70.0,68,75,950000.0,4000.0
Jesús Fernández,Spain,C.D. Leonesa S.A.D.,GK ,29,1085,69.0,73.0,57.0,62.0,65.0,68,69,700000.0,5000.0
M. Pigliacelli,Italy,Pescara,GK ,24,1154,68.0,66.0,85.0,64.0,71.0,68,76,975000.0,2000.0
M. Bettinelli,England,Fulham,GK ,25,1144,72.0,66.0,62.0,67.0,70.0,68,74,875000.0,17000.0
B. Amos,England,Charlton Athletic,GK ,27,1094,65.0,68.0,67.0,65.0,71.0,68,70,725000.0,15000.0
D. Button,England,Fulham,GK ,28,1137,70.0,69.0,57.0,64.0,70.0,68,69,725000.0,19000.0
A. Rossi,Argentina,Boca Juniors,GK ,21,1086,63.0,65.0,55.0,71.0,69.0,68,80,1300000.0,7000.0
L. Acosta,Argentina,Belgrano de Córdoba,GK ,22,1202,69.0,58.0,70.0,69.0,72.0,68,77,1000000.0,5000.0
J. Zimmermann,Germany,Eintracht Frankfurt,GK ,32,1097,68.0,67.0,60.0,68.0,69.0,68,68,525000.0,12000.0
L. Pirard,Belgium,Sint-Truidense VV,GK ,22,1037,69.0,68.0,64.0,63.0,71.0,68,74,900000.0,5000.0
F. Öztürk,Turkey,Akhisar Belediyespor,GK ,30,1179,70.0,65.0,64.0,67.0,70.0,68,68,575000.0,8000.0
Z. MacMath,United States,Colorado Rapids,GK ,25,1060,69.0,65.0,55.0,68.0,71.0,68,73,850000.0,4000.0
D. Gerken,England,Ipswich Town,GK ,32,1210,69.0,66.0,66.0,65.0,70.0,68,68,525000.0,9000.0
T. Deric,United States,Houston Dynamo,GK ,28,1045,65.0,63.0,66.0,67.0,77.0,68,70,750000.0,4000.0
E. Galeković,Australia,Melbourne City,GK ,36,1193,68.0,65.0,66.0,67.0,65.0,68,68,120000.0,4000.0
Oh Seung Hoon,Korea Republic,Sangju Sangmu FC,GK ,29,1053,71.0,66.0,62.0,68.0,70.0,68,69,700000.0,3000.0
R. Zwinkels,Netherlands,ADO Den Haag,GK ,34,1120,66.0,63.0,66.0,72.0,68.0,68,68,375000.0,6000.0
Kim Ho Jun,Korea Republic,Jeju United FC,GK ,33,1063,68.0,66.0,67.0,67.0,68.0,68,68,450000.0,3000.0
B. Sangaré,Ivory Coast,,GK ,31,1122,72.0,66.0,62.0,66.0,67.0,68,68,0.0,0.0
J. Alvbåge,Sweden,Stabæk Fotball,GK ,34,1087,62.0,71.0,64.0,72.0,62.0,68,68,375000.0,3000.0
J. Blaswich,Germany,Hansa Rostock,GK ,26,1170,69.0,68.0,67.0,62.0,74.0,68,72,800000.0,14000.0
J. Huth,Germany,1. FSV Mainz 05,GK ,23,1197,71.0,62.0,73.0,65.0,71.0,68,78,1100000.0,10000.0
S. Johnson,United States,New York City Football Club,GK ,28,1117,72.0,61.0,60.0,62.0,75.0,68,71,775000.0,4000.0
S. Gonda,Japan,Sagan Tosu,GK ,28,1163,66.0,67.0,62.0,66.0,69.0,68,68,625000.0,3000.0
A. Davies,Wales,Barnsley,GK ,24,1051,67.0,65.0,59.0,66.0,69.0,68,74,900000.0,5000.0
Cristiano,Portugal,Vitória Setúbal,GK ,26,1104,64.0,69.0,66.0,70.0,68.0,68,70,750000.0,4000.0
M. Grün,Germany,VfL Wolfsburg,GK ,30,1116,70.0,66.0,64.0,68.0,67.0,68,68,575000.0,22000.0
A. Gunn,England,Norwich City,GK ,21,1179,67.0,66.0,69.0,66.0,70.0,68,79,1200000.0,11000.0
Márcio Velinha,Brazil,Sociedade Esportiva Palmeiras,GK ,29,1117,69.0,62.0,75.0,65.0,73.0,68,68,600000.0,15000.0
M. Andersen,Denmark,Lyngby BK,GK ,28,1134,70.0,64.0,59.0,72.0,67.0,68,71,775000.0,6000.0
M. Flekken,Netherlands,MSV Duisburg,GK ,24,1073,70.0,65.0,72.0,63.0,72.0,68,74,900000.0,3000.0
Roberto,Spain,CD Lugo,GK ,38,1174,69.0,66.0,67.0,70.0,62.0,68,68,60000.0,3000.0
Casto,Spain,AD Alcorcón,GK ,35,1174,78.0,62.0,63.0,66.0,63.0,68,68,210000.0,4000.0
W. Hesl,Germany,Würzburger FV,GK ,31,1058,68.0,67.0,52.0,68.0,69.0,68,68,550000.0,1000.0
J. Carvallo,Peru,,GK ,31,1100,73.0,67.0,69.0,68.0,61.0,68,68,0.0,0.0
B. Hamer,England,Leicester City,GK ,29,1132,71.0,63.0,63.0,69.0,68.0,68,69,700000.0,27000.0
G. Arias,Argentina,Defensa y Justicia,GK ,29,1088,68.0,62.0,58.0,67.0,76.0,68,68,600000.0,7000.0
U. Ceylan,Turkey,Alanyaspor,GK ,31,1165,70.0,64.0,63.0,66.0,71.0,68,68,550000.0,7000.0
A. Pelagotti,Italy,Brescia,GK ,28,1049,68.0,68.0,61.0,65.0,72.0,68,68,625000.0,3000.0
C. Lampe,Bolivia,,GK ,30,1040,65.0,71.0,68.0,64.0,69.0,68,68,0.0,0.0
Alberto Varo,Spain,FC Barcelona B,GK ,24,1207,65.0,67.0,68.0,67.0,71.0,68,76,975000.0,4000.0
