Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Overall,Potential,Wage,Value
Raphinha,Brazil,Vitória Guimarães,LM ,20,1841,88.0,74.0,81.0,85.0,78.0,78.0,74.0,72.0,82.0,71.0,70.0,30.0,48.0,56.0,65.0,67.0,24.0,56.0,74.0,68.0,68.0,78.0,15.0,85.0,73.0,25.0,50.0,72.0,62.0,76,84,11000.0,11500000.0
Welington Dano,Brazil,Fluminense Football Club,LM LB ,29,1988,78.0,69.0,83.0,81.0,72.0,69.0,74.0,51.0,73.0,51.0,52.0,69.0,77.0,71.0,71.0,53.0,76.0,61.0,67.0,75.0,71.0,55.0,73.0,79.0,86.0,74.0,68.0,71.0,47.0,76,76,40000.0,6000000.0
J. Vázquez,Mexico,Guadalajara,CM CDM ,29,1969,77.0,75.0,78.0,91.0,73.0,77.0,55.0,60.0,60.0,40.0,62.0,55.0,83.0,79.0,68.0,67.0,72.0,62.0,65.0,73.0,79.0,70.0,69.0,74.0,88.0,74.0,63.0,65.0,48.0,76,76,55000.0,6000000.0
Cejudo,Spain,Western Sydney Wanderers,LM RM ,33,1943,76.0,80.0,76.0,65.0,82.0,71.0,78.0,73.0,80.0,61.0,61.0,53.0,51.0,63.0,72.0,67.0,41.0,50.0,77.0,82.0,70.0,81.0,53.0,77.0,73.0,55.0,67.0,61.0,67.0,76,76,13000.0,4700000.0
C. Musonda,Belgium,Chelsea,LM RM ,20,1712,89.0,32.0,92.0,87.0,80.0,64.0,73.0,70.0,83.0,66.0,60.0,39.0,21.0,44.0,70.0,62.0,21.0,56.0,70.0,72.0,73.0,69.0,22.0,86.0,70.0,20.0,50.0,67.0,52.0,76,85,80000.0,12000000.0
R. Cabella,France,AS Saint-Étienne,LM LW CAM ,27,1929,83.0,47.0,92.0,80.0,78.0,72.0,73.0,75.0,80.0,70.0,78.0,58.0,56.0,38.0,73.0,73.0,47.0,72.0,67.0,72.0,75.0,74.0,32.0,77.0,73.0,34.0,50.0,72.0,70.0,76,76,32000.0,8000000.0
Carlos Eduardo,Brazil,Al Hilal,CAM CF ,27,1976,68.0,60.0,78.0,32.0,76.0,70.0,77.0,76.0,75.0,79.0,75.0,77.0,55.0,67.0,77.0,75.0,45.0,75.0,80.0,83.0,75.0,78.0,38.0,74.0,71.0,50.0,77.0,77.0,75.0,76,76,47000.0,8000000.0
R. Ghezzal,Algeria,AS Monaco,RM RW ,25,1858,77.0,50.0,78.0,76.0,80.0,74.0,74.0,80.0,81.0,71.0,74.0,56.0,27.0,62.0,71.0,75.0,28.0,68.0,73.0,63.0,76.0,74.0,23.0,76.0,69.0,24.0,61.0,77.0,59.0,76,79,38000.0,9500000.0
S. İnan,Turkey,Galatasaray SK,CDM CM ,32,2002,58.0,60.0,58.0,61.0,80.0,75.0,80.0,83.0,74.0,68.0,87.0,61.0,62.0,68.0,80.0,80.0,61.0,88.0,63.0,70.0,82.0,80.0,58.0,52.0,65.0,65.0,65.0,80.0,62.0,76,76,59000.0,6000000.0
N. Mendy,France,OGC Nice,CM CDM ,25,1992,72.0,79.0,78.0,86.0,78.0,70.0,67.0,69.0,70.0,49.0,48.0,65.0,74.0,79.0,73.0,64.0,74.0,55.0,55.0,73.0,79.0,62.0,75.0,70.0,81.0,74.0,72.0,66.0,43.0,76,80,59000.0,8500000.0
H. Kiyotake,Japan,Cerezo Osaka,RM CAM ,27,1897,71.0,28.0,81.0,79.0,79.0,73.0,80.0,80.0,75.0,70.0,80.0,56.0,35.0,62.0,76.0,69.0,23.0,75.0,72.0,76.0,78.0,70.0,33.0,75.0,83.0,35.0,57.0,74.0,71.0,76,77,9000.0,9000000.0
Daniel Podence,Portugal,Sporting CP,ST RM CF ,21,1807,92.0,65.0,93.0,94.0,80.0,78.0,64.0,71.0,84.0,66.0,42.0,42.0,21.0,66.0,54.0,57.0,26.0,63.0,76.0,81.0,69.0,65.0,29.0,87.0,70.0,30.0,31.0,74.0,57.0,76,84,16000.0,11500000.0
R. Lafrentz,Chile,Universidad de Chile,CAM CM CDM ,29,1958,78.0,75.0,72.0,77.0,71.0,68.0,61.0,54.0,77.0,51.0,57.0,56.0,74.0,43.0,75.0,45.0,76.0,77.0,58.0,77.0,77.0,42.0,77.0,81.0,91.0,72.0,68.0,77.0,57.0,76,76,15000.0,6000000.0
F. Cartabia,Argentina,RC Deportivo de La Coruña,LM RM ,24,1883,81.0,80.0,79.0,83.0,78.0,67.0,75.0,77.0,81.0,69.0,72.0,53.0,34.0,63.0,63.0,75.0,26.0,66.0,70.0,74.0,77.0,80.0,27.0,75.0,73.0,35.0,38.0,70.0,59.0,76,81,23000.0,10500000.0
A. Regattin,Morocco,Osmanlıspor,RM LM ,25,2058,78.0,77.0,85.0,90.0,77.0,74.0,75.0,76.0,80.0,65.0,77.0,51.0,63.0,63.0,73.0,73.0,60.0,72.0,73.0,72.0,74.0,75.0,57.0,80.0,72.0,62.0,60.0,73.0,71.0,76,77,21000.0,9000000.0
D. Labran,Chile,Universidad de Chile,CM CDM ,33,1987,69.0,81.0,78.0,77.0,77.0,68.0,75.0,48.0,75.0,56.0,73.0,56.0,77.0,67.0,74.0,46.0,71.0,61.0,54.0,71.0,73.0,72.0,66.0,68.0,88.0,77.0,71.0,73.0,58.0,76,76,15000.0,3100000.0
Tarantini,Portugal,Rio Ave FC,CDM CM ,33,1970,52.0,75.0,55.0,52.0,76.0,69.0,62.0,65.0,73.0,68.0,57.0,78.0,76.0,69.0,72.0,78.0,64.0,66.0,75.0,74.0,79.0,78.0,58.0,54.0,60.0,71.0,78.0,78.0,70.0,76,76,12000.0,4500000.0
E. Şen,Belgium,CS Marítimo,CDM ,28,2027,67.0,72.0,64.0,65.0,73.0,79.0,61.0,62.0,70.0,65.0,68.0,70.0,83.0,82.0,67.0,72.0,76.0,65.0,65.0,70.0,75.0,71.0,73.0,66.0,81.0,78.0,77.0,58.0,65.0,76,76,12000.0,6000000.0
M. Pereyra,Uruguay,FC Krasnodar,RM CAM RW CM ,27,2037,76.0,67.0,94.0,89.0,78.0,73.0,74.0,67.0,74.0,70.0,73.0,49.0,69.0,53.0,74.0,75.0,65.0,62.0,73.0,75.0,79.0,70.0,55.0,70.0,73.0,67.0,58.0,77.0,69.0,76,77,45000.0,8500000.0
P. Groß,Germany,Brighton & Hove Albion,LM CM CAM ,26,2054,63.0,66.0,70.0,73.0,76.0,71.0,82.0,81.0,76.0,73.0,77.0,53.0,71.0,72.0,78.0,74.0,58.0,57.0,76.0,79.0,79.0,74.0,63.0,70.0,90.0,64.0,74.0,80.0,61.0,76,78,52000.0,9500000.0
G. Cameron,United States,Stoke City,RWB RB CB CDM ,31,1937,62.0,77.0,60.0,53.0,70.0,80.0,60.0,60.0,69.0,51.0,60.0,73.0,78.0,77.0,66.0,56.0,76.0,63.0,62.0,71.0,73.0,65.0,77.0,63.0,79.0,81.0,76.0,70.0,56.0,76,76,62000.0,5000000.0
Hélder Costa,Portugal,Wolverhampton Wanderers,RM RW ,23,1861,91.0,60.0,84.0,79.0,77.0,70.0,72.0,76.0,80.0,71.0,72.0,46.0,18.0,48.0,62.0,69.0,35.0,69.0,74.0,72.0,67.0,73.0,28.0,92.0,72.0,35.0,60.0,68.0,61.0,76,83,54000.0,11000000.0
M. Noble,England,West Ham United,CM CDM ,30,2016,45.0,81.0,65.0,74.0,76.0,77.0,71.0,71.0,74.0,60.0,67.0,62.0,73.0,59.0,77.0,68.0,65.0,88.0,64.0,73.0,79.0,74.0,75.0,47.0,83.0,74.0,72.0,77.0,68.0,76,76,83000.0,5500000.0
M. Torres,Colombia,Atletico Nacional Medellin,CM ,32,1821,56.0,62.0,83.0,73.0,79.0,72.0,76.0,75.0,73.0,63.0,61.0,53.0,52.0,54.0,77.0,77.0,11.0,62.0,75.0,74.0,81.0,79.0,12.0,53.0,66.0,52.0,59.0,82.0,44.0,76,76,8000.0,6000000.0
C. Riveros,Paraguay,,CDM CM ,34,1999,60.0,72.0,79.0,70.0,76.0,80.0,74.0,67.0,69.0,69.0,68.0,70.0,65.0,65.0,77.0,71.0,63.0,71.0,76.0,72.0,81.0,71.0,62.0,53.0,75.0,61.0,62.0,77.0,64.0,76,76,0.0,0.0
A. Chahechouhe,Morocco,Fenerbahçe SK,CAM LM ,30,1883,79.0,39.0,82.0,73.0,78.0,70.0,70.0,69.0,78.0,76.0,63.0,63.0,40.0,58.0,68.0,74.0,26.0,85.0,74.0,74.0,75.0,78.0,24.0,77.0,74.0,27.0,62.0,70.0,77.0,76,76,66000.0,7500000.0
Jairo,Spain,1. FSV Mainz 05,RM LM ,23,1873,87.0,54.0,84.0,86.0,75.0,68.0,72.0,71.0,80.0,68.0,60.0,49.0,29.0,73.0,67.0,68.0,29.0,75.0,74.0,75.0,75.0,69.0,28.0,86.0,68.0,31.0,50.0,71.0,60.0,76,81,28000.0,10500000.0
M. Pašalić,Croatia,Spartak Moscow,CDM CM ,22,2029,62.0,76.0,69.0,54.0,79.0,74.0,68.0,69.0,77.0,66.0,59.0,65.0,72.0,69.0,74.0,75.0,68.0,61.0,72.0,74.0,78.0,77.0,64.0,66.0,78.0,72.0,78.0,74.0,69.0,76,85,89000.0,11500000.0
G. Sertic,France,Olympique de Marseille,CB CDM ,27,2049,65.0,76.0,65.0,65.0,76.0,70.0,72.0,72.0,70.0,60.0,73.0,67.0,73.0,69.0,78.0,77.0,72.0,71.0,71.0,74.0,78.0,84.0,71.0,69.0,74.0,74.0,72.0,71.0,65.0,76,76,29000.0,6500000.0
E. Capoue,France,Watford,CDM CM ,28,1973,62.0,65.0,48.0,63.0,77.0,77.0,70.0,61.0,76.0,70.0,30.0,70.0,71.0,74.0,77.0,69.0,75.0,52.0,73.0,78.0,77.0,76.0,73.0,55.0,85.0,75.0,77.0,67.0,67.0,76,76,60000.0,7500000.0
B. Ramselaar,Netherlands,PSV,CM CAM ,21,1924,85.0,67.0,84.0,74.0,76.0,74.0,63.0,66.0,78.0,66.0,52.0,56.0,58.0,52.0,72.0,65.0,44.0,58.0,75.0,74.0,77.0,66.0,46.0,83.0,86.0,47.0,64.0,69.0,65.0,76,83,15000.0,11000000.0
F. Frei,Switzerland,1. FSV Mainz 05,CAM CDM CM ,28,2072,64.0,61.0,73.0,68.0,75.0,75.0,74.0,71.0,70.0,68.0,65.0,71.0,73.0,67.0,75.0,74.0,67.0,74.0,76.0,70.0,77.0,80.0,69.0,67.0,85.0,70.0,72.0,80.0,76.0,76,76,33000.0,7500000.0
Renan Bressan,Belarus,Grupo Desportivo de Chaves,CM ,28,1965,66.0,36.0,65.0,66.0,77.0,77.0,82.0,84.0,76.0,75.0,83.0,41.0,52.0,54.0,79.0,86.0,31.0,81.0,71.0,73.0,81.0,87.0,45.0,63.0,80.0,47.0,65.0,81.0,82.0,76,76,12000.0,7500000.0
Diego Castro,Spain,Perth Glory,CF ST LM ,34,1941,69.0,65.0,72.0,82.0,80.0,81.0,78.0,81.0,82.0,72.0,72.0,55.0,45.0,69.0,64.0,73.0,35.0,89.0,80.0,80.0,69.0,73.0,40.0,67.0,57.0,42.0,55.0,76.0,68.0,76,76,13000.0,3900000.0
M. Bešić,Bosnia Herzegovina,Everton,CM CDM ,24,1899,65.0,84.0,76.0,75.0,78.0,76.0,45.0,52.0,71.0,51.0,57.0,67.0,77.0,82.0,69.0,48.0,74.0,48.0,46.0,72.0,75.0,55.0,81.0,71.0,69.0,77.0,75.0,65.0,41.0,76,82,76000.0,9000000.0
Roberto Torres,Spain,CA Osasuna,LM RM CM ,28,2026,70.0,72.0,65.0,76.0,76.0,75.0,71.0,70.0,72.0,73.0,81.0,52.0,63.0,64.0,70.0,77.0,42.0,78.0,74.0,80.0,76.0,84.0,55.0,64.0,86.0,67.0,71.0,82.0,63.0,76,76,14000.0,7500000.0
A. Domínguez,Argentina,Rayo Vallecano,CM ST CAM ,36,1864,68.0,60.0,71.0,76.0,80.0,68.0,70.0,83.0,77.0,72.0,75.0,56.0,28.0,39.0,74.0,81.0,34.0,78.0,76.0,71.0,78.0,80.0,47.0,61.0,35.0,24.0,67.0,73.0,73.0,76,76,11000.0,2600000.0
Wilson Eduardo,Portugal,SC Braga,RM ST LM ,26,1914,78.0,59.0,73.0,68.0,78.0,76.0,77.0,82.0,78.0,77.0,71.0,66.0,24.0,64.0,63.0,79.0,22.0,73.0,79.0,77.0,73.0,83.0,23.0,82.0,56.0,33.0,68.0,73.0,77.0,76,76,15000.0,8500000.0
L. Ponzio,Argentina,River Plate,CDM ,35,1995,66.0,80.0,75.0,67.0,74.0,73.0,67.0,57.0,65.0,47.0,70.0,65.0,76.0,77.0,74.0,70.0,79.0,70.0,69.0,78.0,75.0,79.0,77.0,47.0,73.0,76.0,71.0,69.0,41.0,76,76,16000.0,1800000.0
E. Polański,Poland,TSG 1899 Hoffenheim,CM CDM ,31,2052,61.0,88.0,61.0,63.0,73.0,76.0,67.0,74.0,65.0,63.0,71.0,67.0,79.0,78.0,70.0,81.0,73.0,79.0,68.0,77.0,73.0,79.0,76.0,51.0,76.0,77.0,77.0,68.0,71.0,76,76,35000.0,5000000.0
David Seijalbo,Brazil,Santos Futebol Clube,CDM ,33,1882,58.0,83.0,77.0,76.0,70.0,80.0,48.0,47.0,50.0,45.0,44.0,60.0,70.0,81.0,76.0,62.0,74.0,62.0,36.0,79.0,77.0,65.0,68.0,70.0,88.0,77.0,80.0,52.0,53.0,76,76,21000.0,3100000.0
N. Al Abed,Saudi Arabia,Al Hilal,CAM RM LM ,27,1927,87.0,75.0,83.0,80.0,76.0,68.0,70.0,66.0,75.0,70.0,64.0,43.0,36.0,61.0,69.0,74.0,41.0,75.0,69.0,66.0,73.0,73.0,40.0,88.0,80.0,39.0,61.0,75.0,63.0,76,76,43000.0,8000000.0
A. Kasaev,Russia,Lokomotiv Moscow,LM ,31,1874,82.0,58.0,76.0,81.0,76.0,73.0,73.0,72.0,77.0,72.0,61.0,57.0,34.0,57.0,72.0,68.0,26.0,63.0,74.0,77.0,76.0,70.0,28.0,81.0,58.0,32.0,72.0,73.0,68.0,76,76,45000.0,7000000.0
E. Puch,Chile,Pachuca,ST CAM LM RM ,30,1852,86.0,51.0,87.0,85.0,77.0,53.0,69.0,58.0,75.0,77.0,50.0,35.0,52.0,65.0,65.0,65.0,29.0,70.0,76.0,74.0,71.0,72.0,36.0,81.0,77.0,44.0,59.0,70.0,49.0,76,76,35000.0,7500000.0
Palhinha,Portugal,Sporting CP,CM CDM ,21,1823,52.0,79.0,51.0,49.0,72.0,81.0,48.0,42.0,67.0,38.0,45.0,70.0,78.0,84.0,73.0,57.0,72.0,56.0,47.0,73.0,75.0,64.0,70.0,57.0,82.0,77.0,86.0,54.0,59.0,76,84,13000.0,10000000.0
Portu,Spain,Girona CF,RM CM ST ,25,2046,83.0,76.0,76.0,73.0,80.0,69.0,55.0,67.0,77.0,76.0,64.0,72.0,68.0,69.0,71.0,73.0,52.0,51.0,77.0,67.0,80.0,76.0,59.0,79.0,84.0,61.0,67.0,77.0,69.0,76,80,29000.0,10000000.0
Alan Patrick,Brazil,Shakhtar Donetsk,RM LM CAM ,26,1844,79.0,46.0,81.0,72.0,76.0,76.0,71.0,73.0,80.0,75.0,80.0,48.0,39.0,61.0,73.0,78.0,23.0,66.0,73.0,71.0,72.0,77.0,32.0,77.0,73.0,24.0,38.0,76.0,64.0,76,77,1000.0,9000000.0
Ricardo Horta,Portugal,SC Braga,RM LM ,22,1831,78.0,41.0,85.0,82.0,80.0,68.0,73.0,78.0,80.0,66.0,51.0,51.0,31.0,62.0,65.0,68.0,24.0,71.0,72.0,79.0,72.0,79.0,25.0,76.0,76.0,28.0,34.0,75.0,82.0,76,83,13000.0,11000000.0
D. Tarasov,Russia,Lokomotiv Moscow,CDM ,30,1883,53.0,85.0,62.0,43.0,73.0,74.0,59.0,42.0,71.0,48.0,50.0,78.0,76.0,75.0,73.0,66.0,77.0,52.0,59.0,69.0,76.0,64.0,73.0,65.0,75.0,75.0,84.0,65.0,38.0,76,76,41000.0,5500000.0
G. Pereiro,Uruguay,PSV,LW RW CAM ,22,1911,74.0,57.0,74.0,56.0,82.0,78.0,72.0,66.0,78.0,76.0,71.0,74.0,30.0,70.0,58.0,77.0,39.0,62.0,75.0,74.0,72.0,81.0,36.0,76.0,72.0,40.0,75.0,72.0,68.0,76,82,17000.0,10500000.0
K. Grosicki,Poland,Hull City,LW RM LM ,29,1883,89.0,43.0,80.0,70.0,74.0,68.0,73.0,68.0,78.0,72.0,64.0,69.0,48.0,62.0,71.0,71.0,21.0,69.0,75.0,70.0,74.0,74.0,20.0,81.0,66.0,29.0,66.0,71.0,69.0,76,76,16000.0,7500000.0
M. Harnik,Austria,Hannover 96,RM ST ,30,1965,77.0,72.0,69.0,64.0,70.0,75.0,68.0,73.0,74.0,73.0,52.0,77.0,39.0,90.0,69.0,67.0,39.0,72.0,78.0,76.0,72.0,76.0,42.0,79.0,86.0,32.0,75.0,72.0,75.0,76,76,47000.0,7500000.0
B. Ketkeophomphone,France,Angers SCO,RM ST ,27,1854,82.0,35.0,83.0,72.0,78.0,72.0,76.0,71.0,78.0,74.0,77.0,69.0,42.0,76.0,72.0,69.0,15.0,54.0,78.0,77.0,76.0,74.0,18.0,81.0,70.0,16.0,59.0,71.0,68.0,76,77,30000.0,9000000.0
L. Bailey,Jamaica,Bayer 04 Leverkusen,RM LM ,19,1897,93.0,57.0,86.0,77.0,78.0,68.0,73.0,75.0,80.0,63.0,73.0,57.0,21.0,86.0,67.0,77.0,12.0,71.0,67.0,69.0,71.0,79.0,18.0,91.0,71.0,27.0,56.0,68.0,74.0,76,86,29000.0,12000000.0
M. Lehmann,Germany,1. FC Köln,CDM ,34,1988,44.0,76.0,65.0,68.0,74.0,75.0,67.0,71.0,65.0,58.0,72.0,65.0,78.0,75.0,75.0,72.0,69.0,78.0,58.0,74.0,80.0,76.0,73.0,32.0,76.0,75.0,75.0,75.0,56.0,76,76,35000.0,2300000.0
A. Dembal,Chile,Universidad Católica,LM LB ,29,1988,78.0,69.0,83.0,81.0,72.0,69.0,74.0,51.0,73.0,51.0,52.0,69.0,77.0,71.0,71.0,53.0,76.0,61.0,67.0,75.0,71.0,55.0,73.0,79.0,86.0,74.0,68.0,71.0,47.0,76,76,9000.0,6000000.0
C. Atsu,Ghana,Newcastle United,CM LM RM ,25,1882,94.0,49.0,89.0,92.0,76.0,64.0,67.0,70.0,79.0,65.0,55.0,50.0,35.0,68.0,65.0,66.0,29.0,73.0,73.0,73.0,75.0,72.0,35.0,91.0,94.0,37.0,46.0,70.0,58.0,76,79,66000.0,9500000.0
J. Jankto,Czech Republic,Udinese,LM CM ,21,2003,81.0,68.0,76.0,74.0,78.0,75.0,70.0,71.0,76.0,64.0,50.0,59.0,64.0,62.0,75.0,74.0,57.0,50.0,77.0,76.0,78.0,79.0,64.0,83.0,73.0,69.0,64.0,75.0,55.0,76,85,24000.0,12000000.0
D. Fletcher,Scotland,Stoke City,CDM CM ,33,1990,53.0,80.0,62.0,57.0,75.0,83.0,72.0,65.0,65.0,61.0,47.0,83.0,84.0,70.0,79.0,73.0,78.0,62.0,57.0,80.0,82.0,77.0,76.0,46.0,74.0,81.0,71.0,68.0,60.0,76,76,68000.0,4500000.0
R. Yanbaev,Russia,FC Krasnodar,RM LB RB ,33,1965,92.0,69.0,75.0,73.0,68.0,74.0,76.0,63.0,64.0,60.0,41.0,58.0,74.0,70.0,71.0,55.0,74.0,65.0,59.0,72.0,70.0,59.0,73.0,87.0,80.0,72.0,60.0,64.0,58.0,76,76,41000.0,3000000.0
M. Alustiza,Argentina,Club Atlas,CAM ST ,33,1877,76.0,60.0,84.0,78.0,75.0,74.0,60.0,67.0,78.0,85.0,64.0,75.0,27.0,75.0,64.0,72.0,25.0,80.0,82.0,70.0,66.0,74.0,33.0,64.0,66.0,33.0,57.0,66.0,75.0,76,76,28000.0,4800000.0
F. Kessié,Ivory Coast,Milan,CDM CM ,20,2027,74.0,76.0,68.0,73.0,78.0,75.0,64.0,55.0,77.0,67.0,45.0,68.0,75.0,79.0,74.0,60.0,68.0,73.0,76.0,76.0,78.0,69.0,70.0,76.0,86.0,77.0,83.0,70.0,38.0,76,86,24000.0,12500000.0
M. Rog,Croatia,Napoli,CM CAM ,21,1848,73.0,65.0,63.0,67.0,78.0,73.0,75.0,64.0,80.0,62.0,57.0,47.0,28.0,48.0,78.0,76.0,40.0,60.0,63.0,68.0,82.0,70.0,48.0,75.0,65.0,54.0,61.0,78.0,65.0,76,86,48000.0,12500000.0
T. Strobl,Germany,Borussia Mönchengladbach,CB CDM ,27,1811,54.0,84.0,51.0,44.0,58.0,73.0,51.0,44.0,61.0,30.0,39.0,69.0,78.0,70.0,72.0,65.0,77.0,47.0,55.0,77.0,74.0,79.0,77.0,67.0,79.0,79.0,78.0,65.0,32.0,76,78,35000.0,7500000.0
L. Rupp,Germany,TSG 1899 Hoffenheim,CDM RM CM ,26,2019,74.0,63.0,78.0,82.0,79.0,70.0,74.0,73.0,78.0,64.0,60.0,45.0,64.0,66.0,74.0,67.0,63.0,63.0,68.0,74.0,79.0,75.0,69.0,73.0,86.0,72.0,59.0,76.0,63.0,76,77,38000.0,9000000.0
Gálvez,Spain,SD Eibar,CDM CB ,28,1699,40.0,87.0,52.0,56.0,64.0,69.0,39.0,47.0,54.0,29.0,58.0,73.0,76.0,62.0,71.0,36.0,72.0,44.0,47.0,72.0,74.0,53.0,75.0,45.0,75.0,76.0,85.0,50.0,41.0,76,77,23000.0,7000000.0
T. Cleverley,England,Watford,CDM CAM CM ,27,1972,64.0,71.0,72.0,77.0,77.0,69.0,74.0,59.0,74.0,64.0,62.0,48.0,65.0,62.0,77.0,75.0,47.0,72.0,74.0,77.0,78.0,74.0,52.0,70.0,73.0,71.0,58.0,77.0,68.0,76,76,58000.0,8000000.0
L. Ocampos,Argentina,Olympique de Marseille,RM LW ,22,1926,77.0,33.0,77.0,58.0,79.0,70.0,75.0,77.0,79.0,69.0,65.0,73.0,55.0,69.0,69.0,67.0,40.0,64.0,74.0,76.0,76.0,76.0,44.0,78.0,67.0,44.0,78.0,73.0,61.0,76,83,31000.0,11000000.0
A. Rolis,Chile,Universidad Católica,CDM ,33,1882,58.0,83.0,77.0,76.0,70.0,80.0,48.0,47.0,50.0,45.0,44.0,60.0,70.0,81.0,76.0,62.0,74.0,62.0,36.0,79.0,77.0,65.0,68.0,70.0,88.0,77.0,80.0,52.0,53.0,76,76,9000.0,3100000.0
Y. Benzia,Algeria,LOSC Lille,RW ST CAM ,22,1938,74.0,61.0,77.0,75.0,77.0,75.0,66.0,77.0,79.0,73.0,71.0,64.0,55.0,79.0,69.0,68.0,39.0,76.0,77.0,68.0,76.0,71.0,31.0,74.0,68.0,38.0,58.0,77.0,69.0,76,82,39000.0,10500000.0
C. Erkin,Turkey,Beşiktaş JK,LM LB ,28,2188,80.0,88.0,77.0,70.0,78.0,77.0,84.0,84.0,82.0,67.0,84.0,62.0,72.0,78.0,74.0,80.0,65.0,74.0,79.0,78.0,74.0,81.0,73.0,80.0,84.0,73.0,66.0,72.0,76.0,76,76,49000.0,6000000.0
A. Mehmedi,Switzerland,Bayer 04 Leverkusen,RM LM ST ,26,1961,75.0,68.0,79.0,78.0,77.0,71.0,69.0,73.0,80.0,74.0,62.0,60.0,42.0,64.0,62.0,74.0,29.0,69.0,78.0,78.0,74.0,81.0,36.0,76.0,75.0,40.0,71.0,74.0,77.0,76,77,56000.0,9000000.0
Serey Dié,Ivory Coast,FC Basel,CDM ,32,1939,71.0,89.0,81.0,81.0,72.0,75.0,56.0,59.0,68.0,43.0,55.0,64.0,76.0,80.0,68.0,46.0,77.0,50.0,58.0,72.0,72.0,62.0,76.0,63.0,81.0,79.0,73.0,60.0,43.0,76,76,38000.0,4400000.0
L. Cigarini,Italy,Cagliari,CDM CM ,31,1982,67.0,62.0,73.0,78.0,79.0,73.0,76.0,76.0,71.0,58.0,78.0,48.0,70.0,49.0,82.0,74.0,58.0,72.0,62.0,70.0,82.0,74.0,60.0,65.0,68.0,66.0,64.0,80.0,70.0,76,76,54000.0,6500000.0
Everton Andrão,Brazil,Clube Atlético Paranaense,CM CDM ,33,1987,69.0,81.0,78.0,77.0,77.0,68.0,75.0,48.0,75.0,56.0,73.0,56.0,77.0,67.0,74.0,46.0,71.0,61.0,54.0,71.0,73.0,72.0,66.0,68.0,88.0,77.0,71.0,73.0,58.0,76,76,17000.0,3100000.0
A. Musa,Nigeria,Leicester City,LM ST ,24,1867,95.0,33.0,88.0,84.0,76.0,72.0,67.0,60.0,78.0,78.0,48.0,64.0,24.0,80.0,52.0,72.0,20.0,69.0,77.0,79.0,64.0,78.0,24.0,92.0,89.0,28.0,48.0,66.0,73.0,76,81,65000.0,10500000.0
M. Sulejmani,Serbia,BSC Young Boys,LM ,28,1867,80.0,32.0,80.0,75.0,80.0,70.0,77.0,81.0,80.0,72.0,80.0,47.0,26.0,56.0,67.0,71.0,29.0,73.0,70.0,70.0,71.0,75.0,26.0,88.0,68.0,36.0,60.0,62.0,70.0,76,76,28000.0,8000000.0
L. Nguyen,United States,New England Revolution,RM ST CAM ,30,1903,79.0,63.0,83.0,79.0,75.0,74.0,67.0,75.0,76.0,71.0,72.0,42.0,43.0,47.0,70.0,71.0,41.0,76.0,72.0,73.0,74.0,73.0,34.0,74.0,70.0,44.0,61.0,78.0,68.0,76,76,11000.0,7500000.0
S. Cristóforo,Uruguay,Fiorentina,CM CDM ,23,1922,70.0,80.0,76.0,85.0,69.0,69.0,52.0,59.0,63.0,40.0,35.0,57.0,80.0,72.0,78.0,68.0,70.0,59.0,60.0,72.0,76.0,71.0,78.0,60.0,76.0,80.0,66.0,70.0,36.0,76,80,48000.0,8500000.0
J. Dátolo,Argentina,Banfield,LM CM CAM ,33,1959,71.0,46.0,82.0,72.0,78.0,72.0,76.0,82.0,77.0,68.0,76.0,56.0,51.0,54.0,76.0,76.0,57.0,73.0,71.0,73.0,77.0,74.0,44.0,71.0,68.0,49.0,62.0,77.0,66.0,76,76,19000.0,4700000.0
N. Dirar,Morocco,Fenerbahçe SK,RB RM ,31,1942,76.0,70.0,77.0,65.0,79.0,76.0,78.0,75.0,82.0,65.0,62.0,47.0,53.0,74.0,67.0,68.0,49.0,52.0,75.0,73.0,77.0,70.0,50.0,79.0,67.0,55.0,76.0,69.0,62.0,76,76,66000.0,7000000.0
M. Izco,Argentina,Crotone,CDM CM ,34,1991,69.0,72.0,69.0,68.0,78.0,77.0,70.0,68.0,78.0,54.0,50.0,60.0,75.0,55.0,74.0,70.0,68.0,60.0,61.0,76.0,80.0,82.0,68.0,74.0,77.0,74.0,72.0,77.0,60.0,76,76,16000.0,3700000.0
Rosberto Dourado,Brazil,Clube Atlético Mineiro,CAM CM CDM ,29,1958,78.0,75.0,72.0,77.0,71.0,68.0,61.0,54.0,77.0,51.0,57.0,56.0,74.0,43.0,75.0,45.0,76.0,77.0,58.0,77.0,77.0,42.0,77.0,81.0,91.0,72.0,68.0,77.0,57.0,76,76,37000.0,6000000.0
M. Dabbur,Israel,FC Red Bull Salzburg,LW CAM ST ,25,1845,78.0,33.0,80.0,71.0,78.0,48.0,50.0,74.0,78.0,76.0,35.0,75.0,19.0,86.0,63.0,60.0,32.0,67.0,79.0,64.0,76.0,73.0,27.0,81.0,81.0,37.0,77.0,72.0,62.0,76,79,38000.0,10000000.0
